Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,7,-13,7—8,17,--,--,4.0
Jab 2,9,-9,9—11,14,--,--,7.0
Forward Tilt,10,-15,10—14,23,--,--,13.0
Up Tilt,11,-19,11—16,24,--,--,11.0
Down Tilt,10/15,-22,10—12/15—17,28,--,--,7.0/8.0
Dash Attack,11,-33,11—14/15—20,35,--,Early/Late,12.0/10.0
Forward Smash,22,-32,22—23(24—27),42,--,(Clean/Late both split Far/Close),(23.0%/20.0%)/(17.0%/14.0%)
Up Smash,16/37,-27/-30/-12,16—23/37,20,--,Sweet/sour/landing hit,22.0/16.0/12.0
Down Smash,12/28,-49/-34,12—14/28—30,42,--,--,16.0/15.0
Neutral Air,8/14/18/**,-12,8—29/14—29/18—29/18—29,18,15,--,6.0
Forward Air,11,-9/-10,11—14,27,14,(Far/Mid/Close),13.0%/12.0%/11.0%
Back Air,9,-17,9—11,33,24,--,19.0
Up Air,9,-12,9—13,31,17,--,15.0
Down Air,17,-30,17—24/25—49/1—6,28,34,Normal/late/landing,16.0/**/2.0
Neutral B (Fire Breath),23/30/37/44...,--,23/30/37/44...,33,--,--,1.8
Side B (Flying Slam),6,--,6,46,--,--,--
Up B (Whirling Fortress),6...,-36,6—38/39 (rehit: 5),42,18,Multi/Final,1.0/6.0
"Up B, Air (Whirling Fortress, Air)",6...,--,6—7/8—11/12—15/16—19/20—23/24—27/28—31/32—35/36—39/40—43/44—47/48—51 (rehit: 5),--,36,First/multi/final,7.0/1.0/2.0
Down B (Bowser Bomb),11/37.../1,--,11/37.../1—2,29,--,Rise/fall/landing,4.0/20.0/11.0
"Down B, Air (Bowser Bomb, Air)",31.../1,--,31.../1—2,--,55,Fall/landing,20.0/11.0
