Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-12,4—5,14,--,--,2.0
Jab 2,4,-22,4—5,24,--,--,2.0
Rapid Jab,4/7/10...,--,**,--,--,--,0.5
Rapid Jab Finisher,6,-32,6—7,35,--,--,3.0
Forward Tilt,7,-18/-16,7—9,22,--,Close/Far,6.0/8.0
Up Tilt,7,-19,7—14,16,--,--,6.0
Down Tilt,4/12/23,-11,4—6/12—14/23—25,15,--,Multi/Final,2.0/6.0
Dash Attack,8/11/14/17/20/25,-17,8/11/14/17/20/25—26,21,--,Multi/Final,1.8/4.0
Forward Smash,18/21/24/27/30/35,-12,18/21/24/27/30/35—37,18,--,Multi/Final,1.0/11.0
Up Smash,7/9/12/15/18/22,-26,7—8/9/12/15/18/22—23,30,--,Hit 1/Multihits/Penultimate/Final,1.0/1.7/1.4/6.0
Down Smash,12,-32,12—14,45,--,--,18.0
Neutral Air,7,-6/-7/-7/-5/-6/-6,7—8(9—13/14—19),24,9,close early/late/later/far early/late/later,6.5/5.5/3.5/8.0/7.0/5.0
Forward Air,10,-11,10—13(14—17/18—23)/2,20,16,Early Far/Early Close and Mid Far/Mid Close and Late Fair/Late Close/Landing,11.0/9.0/7.0/5.0/2.0
Back Air,12,-9/-10,12—13(14—18),27,14,Early Far/Late Far/Close,14.0/10.0/8.0
Up Air,6,-5,6—9(10—13),12,9,Early/Late,10.0/6.5
Down Air,15...,-11,15—38 (rehit: 3) / 39,18,15,multi/final/landing,1.5/2.5/2.0
Neutral B (Clown Cannon),37-97,-23 to -17,**,--,--,Early/Late,10.0—20.0/7.0—14.0
Side B (Clown Kart Dash),23,--,**,--,--,--,4.0—7.3
Clown Kart Dash (spinout),3,-40,3—14,44,--,Early—Latest,16.3—10.0
Up B (Abandon Ship),17/56,--,**,--,26,--,5.0/13.0
Abandon Ship (Hammer),8/13,--,8—9/13—14,25,37,--,15.0 (sweet) / 10.0 (sour)
Down B (Mechakoopa),--,--,**,--,--,--,4.0
