Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-15,4—5,17,--,--,1.5
Jab 2,4,-17,4—5,19,--,--,2.0
Jab 3,5,-22,5—7,27,--,--,4.5
Rapid Jab,11,**,11/14/17/20/23/...,--,--,--,0.4
Rapid Jab Finisher,6,-40,6—7,43,--,--,3.5
Forward Tilt,8,-15,8—10,24,--,--,11.0
Up Tilt,9,-15,9—15,19,--,--,10.0
Down Tilt,13,-14,13—15,20,--,--,8.0
Dash Attack,9,-26/-23,9—11,33,--,Sour/Sweet,9.0/13.0
Forward Smash,23,-31/-27 \|\| -32/-28 \|\| -32/-28,23—25,38,--,Normal/Down/Up (Sour/Sweet for each),Normal: 12.0/18.0 \|\| Down: 11.5/17.25 \|\| Up: 13.0/19.5
Up Smash,13,-22,13—16(rehit: 7)/17—27(rehit: 4)/28—29,27,--,First/Multi/Final,2.0/2.0/2.0/10.0
Down Smash,19/29,-40/-30,19—21/29—31,43,--,First/Second,23.0/23.0
Neutral Air,6...,-11/-11/-9,6—26(rehit: 7)/28/2,23,13,Multihits/Final/Landing,2.5/3.0/1.0
Forward Air,12,-7/-6,12—13,26,11,Sweet/Sour,12.75/8.5
Back Air,13,-9/-8,13—14(15—17),29,13,Sweet/Sour Early (Sweet/Sour Late),15.0/10.0 (7.5/5.0)
Up Air,10...,-12/-11,10—19(rehit: 5)/20—23,25,14,Multi/Final,3.0/5.5
Down Air,22,-21,22—24,35,28,--,19.0
Neutral B (Failnaught),45/114,-8/-21,45—61 / 114,--,--,Normal/Held,12.0/29.0
Side B (Areadbhar),Ground: 20 \|\| Air: 21,Ground: -20/-34  \|\| Air: -16/-35,Ground: 20/21/22—24 \|\| Air: 21—24,41,**,Sweet/Sour,17.25/11.5
Up B (Sword of the Creator),9(ground) \|\| 10(air),-35(ground) \|\| **(air),9/10—17/46(ground) \|\| 10—17/46(air),--,**,Hit/Grab/Final,1.0/3.0/6.5
Down B (Aymr),62,**,62—67/2—5,66,**,Hit/Shockwave,Grounded: 30.0/8.0 (Aerial: 25.0/6.0)
