Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-11,3,14,--,--,1.5
Jab 2,5,-10,5,13,--,--,1.5
Jab 3,6,-20,6—7,25,--,--,5.0
Rapid Jab,5/7/9,--,**,--,--,--,0.6
Rapid Jab Finisher,6,-39,6—7,42,--,--,3.0
Forward Tilt,7,-14/-13,7—10,19,--,Close/Far,8.0/9.0
Up Tilt,14,-12,14—17,19,--,--,11.0
Down Tilt,11,-13,11—12,22,--,--,10.0
Dash Attack,7,-13,7—9(10—16),18,--,Early/Late,10.0/6.0
Forward Smash,19,-27,19—22,37,--,No Angle/Angled,19.0/20.0
Up Smash,22/28,-7,22(23)/28—29,16,--,(Hit 1 (Scoop/Leg)/Hit 2 (Leg/Butt)),(7.0%/12.0%)/(14.0%/13.0%)
Down Smash,19/29,-19/-7,19—20/29—30,18,--,--,14.0/18.0
Neutral Air,7/13,-4/-4,7—8/13—15,24,7,--,4.0/6.0
Forward Air,14,-11/-15,14(15—30),15,18,Early Far/Early Close/Late,22.0/6.0/3.0
Back Air,10,-5/-7,10—11(12—15),20,10,Early/Late,13.0/8.0
Up Air,7,-6/-6/-6,7—10(11—12),19,10,Close/Far/Late,10.0/9.0/8.0
Down Air,16,-7,16—18,26,12,--,14.0
Neutral B (Falcon Punch),53/62,-28/-31,53—57/62—66,37,--,Grounded/Grounded Reversed/Aerial/Aerial Reversed,25.0/28.0/22.0/25.0
Side B (Raptor Boost),5(+10),-12,**,--,--,--,10.0
"Side B, Air (Raptor Boost, Air)",5(+19),--,**,--,22,--,10.0
Up B (Falcon Dive),14,--,14—30,--,24,Hit 1/Throw,5.0/13.0
Down B (Falcon Kick),13,-51,13—16(17—23/24—33),35,--,Early/late/later,15.0/11.0/7.0
"Down B, Air (Falcon Kick, Air)",14,-25,14—18(19—24/25—27)/1—2,29,35,Early/Mid/Late/Landing,15.0/12.0/9.0/9.0
