Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-14,4—5,17,--,--,2.5
Jab 2,5,-16,5—6,19,--,--,2.5
Jab 3,7,-20,7—8,25,--,--,5.0
Forward Tilt,12,-18/-15,12—13,24,--,Close/Far,7.0/11.0
Up Tilt,9,-16,9—12,21,--,--,8.0
Down Tilt,9,-11,9—10,20,--,--,10.0
Dash Attack,10,-12,10—12/13—20,19,--,Early/Late,13.0/10.0
Forward Smash,22,-36/-37,22/23—24,45,--,Close/Far,19.0/16.4
Up Smash,6/14,-24,(6/7—9) / 14—19,27,--,Hit 1(Ground Only/Late) / Hit 2,5.0/11.0
Down Smash,14,-35,14—16,44,--,--,16.0
Neutral Air,8,-6/-5,8—20,19,10,Close/Far,9.0/12.0
Forward Air,8,-14/-14,8—9/10—12,33,19,Close/Far,12.0/13.0
Back Air,14,-16/-15/-14,14/15—16,29,20,Close/far/farther,11.0/14.0/16.0
Up Air,12,-8,12—15,30,13,--,13.0
Down Air,18,-16/-17,18—21/22—25,26,21,Early/Late,14.0/8.0
Neutral B (Flamethrower),19/26/33/40,-24,19—22/26—29/33—36/40—43,27,--,Close/Far,2.0/1.0
Side B (Flare Blitz),23,-52/-66,23—51,50,--,--,6.0/18.0
Up B (Fly),9...,--,9—10/16—26(rehit: 3)/27—28,--,30,--,5.0/2.0/4.0
Down B (Pokemon Change),--,--,**,--,--,--,--
