Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,5,-10,5—7,15,--,--,6.5
Forward Tilt,8,-15,8—10,23,--,--,10.9
Up Tilt,6,-22,6/7—8/9—11,27,--,Early/Normal/Late,10.4
Down Tilt,7,-5,7—8,13,--,--,9.0
Dash Attack,13,-21,13—16,29,--,--,12.0
Forward Smash,13,-28,13—14,39,--,--,18.0
Up Smash,12/13/15/17/19/22,-29,12/13/15/17/19/22—23,35,--,First/multi/final,1.0/2.0/10.0
Down Smash,6/21,-47/-31,6—7/21—22,40,--,--,12.3/14.2
Neutral Air,6/15,-6/-6,6—7/15—21,24,9,--,4.7/6.6
Forward Air,10,-4,10—12,17,8,--,9.0
Back Air,8,-6,8—10,25,10,--,10.9
Up Air,5,-4,5—12,29,8,--,7.6
Down Air,16,-9/-9,16—17,34,14,Sweet/Sour,14.2/11.875
Neutral B (Flare Blade),21-260,-15—Shieldbreak,Normal: 21—24 (or 10—14 from release) \|\| Max: 21—25,19,--,--,8.0—50.0
"Side B, Hit 1 (Double-Edge Dance, Hit 1)",9,-26/-16(air),9—11,28,--,--,2.8
"Double-Edge Dance, Hit 2 Neutral",5,-29,5—7,31,--,--,2.8
"Double-Edge Dance, Hit 3 Neutral",4,-34,4—6,37,--,--,3.8
"Double-Edge Dance, Hit 4 Neutral",7,-45,7—9,49,--,--,5.2
"Double-Edge Dance, Hit 2 Up",4,-30,4—6,32,--,--,2.8
"Double-Edge Dance, Hit 3 Up",5,-33,5—7,36,--,--,3.8
"Double-Edge Dance, Hit 4 Up",6,-31,6—10,34,--,--,6.4
"Double-Edge Dance, Hit 3 Down",5,-34,5—7,36,--,--,3.8
"Double-Edge Dance, Hit 4 Down",7/10/13/16/19,-47,7/10/13/16/19—21,50,--,multi/final,2.0/4.2
Up B (Soaring Slash),10/39/53/**,-29,10—11/39—47(rehit: 7) / 54—**/1—4,--,36,First/multi/falling/landing,6.0/1.5/6.0/6.0
Down B (Counter),8 (Start of Counter),--,--,--,--,--,--
"Counter, Attack",4,--,4—5,35,--,--,--
