Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-21,4—5,24,--,--,2.5
Jab 2,5,-24,5—6,26,--,--,2.0
Jab 3,6,-27,6—7,30,--,--,3.5
Forward Tilt,9,-16,9—10,25,--,--,11.0
Up Tilt,6,-18,6—9,23,--,--,8.0
Down Tilt,7,-26,7—8(9—17),23,--,--,7.0
Dash Attack,9,-26,9—13(14—18),27,--,Early/Late,11.0/8.0
Forward Smash,19/24/28,-29/-30,19/24/28,38,--,First/Second/(Final Close/Far),3.0/2.0/(13.0/12.0)
Up Smash,12,-24,12(13—14/15—16),29,--,--,13.0/8.0
Down Smash,8/21,-38/-20,8—9/21—23,26,--,--,3.0/11.0
Neutral Air,5,-5,5—15,23,9,--,8.0
Forward Air,18,-6/-6/-7,18—19(20—25),28,11,Early/Tipper/Late,13.0/14.0/11.0
Back Air,11,-3,11—12,30,8,--,13.0
Up Air,8,-5/-5,8—9(10—23),21,9,Early/Late,11.0/8.0
Down Air,11,-11/-12,11—13(14—39),25,16,Early/Late,13.0/8.0
Neutral B (Blade Beam),18(18),-25(-33),18—35(36—67),--,--,Ground Early/Late (Air Early/Late),8.0/6.0(6.4/4.8)
Limit Blade Beam,16 (1/7/13/19/25/28),-9,"16—62, Multihits: (1—28 (Rehit : 6)/29—30)",--,--,First/Multi/Final,6.0/2.0/3.0 (Air: 4.8/1.6/2.4)
"Side B, Hit 1 (Cross Slash, Hit 1)",10,-25,10—11,29,--,--,4.0
"Cross Slash, Hit 2",2,-25,2—3,28,--,--,3.0
"Cross Slash, Hit 3",2/11/25,-24,2—3/11—12/25—26,29,--,--,3.0/3.0/6.0
Limit Cross Slash,10/15/21/28/38,-12,10—11/15—16/21—22/28/38—39,21,--,Hits 1-2/3-4/Final,5.0/3.0/10.0
Up B (Climhazzard),7/10,**,7/10(11/12—15/**),--,20,--,3.0/4.0
"Climhazzard, Followup",12,**,12—**,--,26,--,6.0/7.0
Limit Climhazzard,7/10,-21,7—9/10(11—16)/1—3,--,20,Falling/Landing,4.5/3.5
Down B (Limit Charge),--,--,**,--,--,--,--
Down B (Finishing Touch),12 (ground) // 14 (air),-70/-71,12(13—14)/22—26 // 14—15(17)/25—29,55,--,--,1.0
