Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,2,-22,2,25,--,--,2.0
Jab 2,2,-23,2—3,26,--,--,3.0
Forward Tilt,7,-22/-21,7/8—9/10—15,21,--,Close/Mid hit far/Late,7.0/8.0/6.0
Up Tilt,9,-20/-18,9—13,24,--,Close/Far,8.0/10.0
Down Tilt,8,-8,8—9,14,--,--,7.0
Dash Attack,6/17,-14,6—9/17—19,18,--,--,4.0/6.0
Forward Smash,15,-20/-21/-18,15—17/15—17/15—17,28,--,Golf/Tennis/Pan,15.0/13.5/18.0
Up Smash,14,-20/-19,14—16/17—20,24,--,Early tip/Early hand/Early sides/Late tip/Late hand,17.0/15.0/12.0/10.0/12.0
Down Smash,6/10/14/18/22/26/30,-21,6—7/10—11/14—15/18—19/ 22—23/26—27/30—31,23,--,Multi/Final,2.0/3.0
Neutral Air,5,-2/-4,5—8/9—19,29,7,Early/Late hands/Late hips,13.0/6.0/5.0
Forward Air,16,-8/-8,16—20,37,13,Close/Far,14.0/15.0
Back Air,6,-6/-8,6—7,46,11,Early/Late,12.0/7.0
Up Air,10/15,-4/-4,(10/11/12—13)(15/16—19),26,7,Hit 1(Early/Normal/Late)/Hit 2(Early/Normal),4.0/6.0
Down Air,12/18/24/30,-6/-5,12—13/18—19/24—25/30—31,7,8,Multihits far/Multihits close/Final,2.0/1.0/5.0
Neutral B (Toad),9 (Start of Counter),--,--,--,--,--,--
"Toad, Attack",2/6/8/12/14/17,--,**,--,--,--,3.5 per spore
Side B (daisy Bomber),13,-13,13—36(detector),--,--,--,12.0
"Side B, Air (daisy Bomber, Air)",13,-13,13—36(detector),--,35,--,12.0
Up B (daisy Parasol),7/11/16/21/26/31,--,7/11/16/21/26/31,--,26/40,First/Multi/Final,3.0/1.0/4.0
Down B (Turnip Pull),--,--,**,--,--,--,8.3—27.6
