Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-18,4—5,20,--,--,2.0
Jab 2,5,-21,5—6,23,--,--,2.0
Jab 3,3,-23,3,28,--,--,4.0
Rapid Jab,6/8/10...,--,6/8/10...,--,--,--,0.5
Rapid Jab Finisher,4,-40,4—5,42,--,--,2.0
Forward Tilt,10,-22/-19,10—14,25,--,Close/Far,7.0/10.0
Up Tilt,6/15,-23/-13,6—8/15—16,16,--,--,4.0/5.0
Down Tilt,6,-13,6—7,18,--,--,6.0
Dash Attack,7,-17,7—9,29,--,--,11.0
Forward Smash,10/21,-26,10/21—22,32,--,--,5.0/10.0
Up Smash,6/7/10/18,-27,6/7/10/18,33,--,First/First Late/Second/Third,3.0/*/2.0/8.0
Down Smash,5/18,-27/-28/-14/-15,5—6/18—20,20,--,Close/Far,12.0/10.0
Neutral Air,4/7/10/13/16/19/22/25,-12/-11,4—5/7—8/10—11/13—14/16—17/19—20/22—23/25,29,14,Multi/Final,0.7/4.5
Forward Air,11/14/18,-10/-9,11—12/14—15/18—19,27,12,Multi/Final,2.5/6.0
Back Air,10,-4/-3,10—12,28,8,Close/Far,8.0/12.0
Up Air,10/13/16/19/22,-12/-11,10—12/13—15/16—18/19—21/22—23,17,14,--,1.5/5.0
Down Air,10,-8,10/11—12,24,12,Normal/Late,10.0
Neutral B (Silver Bow),16—76,-21 to -15,16—55 (sideways) \|\| 17—56 (up),--,--,--,5.5—14.0
Side B (Electroshock Arm),18,-36,16—35(detector),--,--,--,12.0
"Side B, Air (Electrodash Arm, Air)",21,-40,19—35(detector),--,30,--,9.5
Up B (Power of Flight),--,--,--,--,40,--,--
Down B (Guardian Orbitars),7 (Start of Reflect),--,--,--,--,--,--
