Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-10,3—4,13,--,--,3.0
Jab 2,6,-15,6—9,20,--,--,8.0
Forward Tilt,8,-17/-16/-15,8—10,23,--,Close/Middle/Far,8.0/9.0/10.0
Up Tilt,15,-12,15—18,21,--,Grounded/Aerial,13.0/12.0
Down Tilt,6,-27,6—8,36,--,--,12.0
Dash Attack,8,-26,8—9(10—13/14—18),23,--,Early/Late/Later,10.0/6.0
Forward Smash,10,-30/-28,10—11,37,--,Close/Far,12.0/14.0
Up Smash,11/15/19/23/27,-24,11—12/15—16/19—20/23—24/27—28,28,--,Multihit/Final,3.0/6.0
Down Smash,9/17,-28/-19,9—10/17—18,26,--,--,10.0/12.0
Neutral Air,8/14,-5/-5,8—11/14—15(16—22),23,9,Hit 1/Early Hit 2/Late Hit 2,10.0/9.0/8.0
Forward Air,6/12/18/24/30,-12/-12/-11,6—7/12—13/18—19/24—25/30—31,28,14,First/multi/final,3.0/1.6/5.0
Back Air,9,-9/-10,9—10(11—14),27,14,Early close/Early far/late,12.0/14.0/9.0
Up Air,5...,-16/-16/-15,5/7—14(rehit: 3)/16—17,22,18,First/multi/final,3.0/1.2/4.0
Down Air,17,-8/-7,17—18/19—21/22—23,25,12,Early/Meteor/Late,10.0/14.0
Z Air,8/16,-4/-3,8—15/16—19,40,8,First/Second,2.5/4.0
Neutral B (Charge Shot),3(+13),-16 to +4,3—62 (from release),--,--,--,5.0—26.1
"Charge Shot, Full Charge",16,-12,16—75,--,--,--,28.0
Side B (Homing Missle),18,-26,18—137,--,--,--,8.0
Side B (Super Missle),21,-24,21—70,--,30,--,12.0
Up B (Screw Attack),4...,--,4-6/7-11/12-14/15-24/25-26,--,24,First/Multi/Final,3.0/1.0/2.0
"Up B, Air (Screw Attack, Air)",5...,--,5-10/11-26/27-28,--,24,--,1.0
Down B (Bomb),33,--,33—82/1—18,--,--,--,4.0/5.0
