Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-13,3,16,--,--,2.0
Jab 2,5,-12,5,15,--,--,1.5
Jab 3,5,-24,5,29,--,--,4.0
Forward Tilt,10,-16,10—11(12/13—16),20,--,Early/Late,10.0/7.0
Up Tilt,6,-17,6—11,18,--,--,6.0
Down Tilt,4,-8,4—5,13,--,--,5.5
Dash Attack,8/16/22,-14,8—9/16—17/22—23,17,--,Multi/Final,2.0/3.0
Forward Smash,12/21,-21,12(13)/21—23,27,--,--,5.0/11.0
Up Smash,5/12/19,-29,5(6—8)/12—14(15)/19—23,30,--,Multihit/Final,2.5/6.0
Down Smash,7/12,-35/-28,7—8/12—13,37,--,--,12.0/15.0
Neutral Air,8,-5,8—20,28,8,--,6.0
Forward Air,6,-12/-12,6—9(10—16),30,16,Early/Late,10.0/8.0
Back Air,5,-3,5—8,22,7,--,9.0
Up Air,4,-7,4—7,29,9,--,7.0
Down Air,15,-26 (-13 landing),15—16,30,17,--,13.0/10.0
Neutral B (Peanut Popgun),16/17—121/124,-25 to -17/-19 to -13,**,--,--,Projectile/melee,3.3—15.0/2.0
"Peanut Popgun, Misfire",123,-85,**,--,--,--,23.0
Peanuts (Thrown),--,--,--,--,--,--,--
Side B (Monkey Flip),18,--,18—36,11,26,--,--
"Monkey Flip, Attack",6,-5/-8,6—10(11—25),7,18,Early/Late,14.0/10.0
"Monkey Flip, Grab Success",11/29/59...,--,**,--,--,--,--
"Monkey Flip, Grab Attack",18/21,--,**,--,--,--,--
"Monkey Flip, Grab Jump",18/27,--,**,--,--,--,--
Up B (Rocketbarrel Boost),8—68,--,8—9(10—16/17—35),--,30,Early/Late/Later,10.0/8.0/6.0
"Rocketbarrel Boost, Explosion",1,-39 to -41,1—2,55,--,--,18.0
Down B (Banana Peel),--,--,20 (banana appears),--,--,--,--
