Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,5,-14,5—6,18,--,--,4.0
Jab 2,4,-24,4—6,25,--,--,6.0
Forward Tilt,7,-19/-18,7—9,25,--,No angle/angled,8.0/9.0
Up Tilt,5,-23,5—11,27,--,--,10.0
Down Tilt,6,-12,6—7,17,--,--,6.0
Dash Attack,9,-14,9—12/13—24,10,--,Early/Late,12.0/9.0
Forward Smash,22,-18,22—23,31,--,Far/Close,22.0/21.0
Up Smash,14,-22,14—15,34,--,--,19.0
Down Smash,11,-33,11—12/13—14,41,--,Early Fist/Late Fist/Arms,17.0/18.0/14.0
Neutral Air,10,-6,10—13/14—26,12,10,Early/Late,12.0/9.0
Forward Air,18,-11/-12,18—20/21—23,32,17,Early/Late Meteor/Late Arms,16.0/15.0/13.0
Back Air,7,-6/-7,7—8/9—16,15,11,Early/Late,13.0/8.0
Up Air,6,-10,6—10,27,15,--,13.0
Down Air,14,-8,14—16,38,14,--,16.0/13.0
Neutral B (Giant Punch),19(+7),-33 to -21,26—27 (19—20 after starting charge),35,--,--,10.0—27.0
"Giant Punch, Full Charge",19,-4,19—20,27,--,--,Grounded: 28.0%/18.0% \| Aerial: 25.0
Side B (Headbutt),20,-32,20—21,41,--,--,10.0
Up B (Spinning Kong),19/25/32/40/49/55/62,-37,¯\_(ツ)_/¯ (19/25-27/32-33/40-42/49-50/55-58/62),42,--,First/multi/Final,5.0/1.3/4.0
"Spinning Kong, Air",4/12...,**,¯\_(ツ)_/¯ (4-6/10-12/13-14/15-17/18-19/20-21/22-24/25-26/27-29/30-31/32-33/34-36/37-38/39-43),--,38,First/Multi/Final,5.0/1.0/2.0
Down B (Hand Slap),12/23,-15,12—13/23—24...,22,--,--,14.0
"Hand Slap, Air",19/28,-4,19—21/28—30,19,10,First/Second,5.0/6.0
