Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,7,-8,7—8,18,--,--,11.0
Forward Tilt,10,-17/-16,10—12,27,--,Close/Far,13.0/14.0
Up Tilt,60,-14,60—61(62—63) / Windboxes 6—52,43,--,Early and Late leg/Late explosion,24.0/13.0
Down Tilt,10,-12,10—12,23,--,--,14.0
Dash Attack,10,-13/-11,10—12/13—19,18,--,Early/Late,15.0/11.0
Forward Smash,29,-24,29—31,38,--,--,24.0
Up Smash,20,-25,20—25,36,--,Far/Close,24.0/21.0
Down Smash,15/35,-39/-13,15—18/35—38,21,--,First/Second,5.0/15.0
Neutral Air,7/17,(-7/-7)(-5/-6),(7—8/9—12)(17—18/19—26),14,10,(First Early/Late)(Second Early/Late),(7.0/5.25)(12.0/ 9.5)
Forward Air,14,-7/-7,14—19,25,13,Close/Far,17.0/18.0
Back Air,10,-4/-5,10—12,23,11,Sweet/Sour,18.5/17
Up Air,8,-6/-6/-6/-7/-7/-8,8—10/11—13/14—16 (Close/Early/Late),--,11,Clean/Late/Latest,13.0/12.0/12.0/10.0/8.0/6.0
Down Air,16,-9/-10,16—18,26,16,Legs/Waist,19.0/17.0
Neutral B (Warlock Punch),70/80,-20/-14,70—73/80—83,34,--,Forward/Reversed,30.0/37.0
"Neutral B, Air (Warlock Punch, Air)",70/80,-14/-12,70—73/80—83,34,--,Forward/Reversed,38.0/40.0
Side B (Flame Choke),16,--,16—30,29,--,--,--
"Flame Choke, Success",31,--,32,25,--,--,12.0
"Side B, Air (Flame Choke, Air)",16,--,16—28,--,29/20,--,--
"Side B, Air Success (Flame Choke, Air Success)",--,--,1 (Landing),--,30,--,15.0
Up B (Dark Dive),14,--,14—28(Grab)/34—36(Attack),--,30,--,7.0
"Dark Dive, Grab Success",4/8/12/16/17,--,**,--,--,Multi/Final,1.9/9.0
Down B (Wizard's Foot),16,-29,16—35,25,--,Close/Far,14.0/16.0
"Down B, Air (Wizard's Foot, Air)",16,-34,16—18/19—29/2—3,28,44,Early/Late/Landing,15.0/14.0/8.0
