Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,6,-15,6—7,18,--,--,3.0
Jab 2,6,-15,6—7,18,--,--,3.0
Jab 3,7,-25,7—9,28,--,--,4.0
Forward Tilt 1,9,-21,9—11,25,--,--,5.0
Forward Tilt 2,8,-31,8—9,38,--,--,8.0
Up Tilt,8,-23,8—9/10—11,30,--,Early/Late,9.0/11.0/11.0
Down Tilt,6,-19,6—10,22,--,--,7.0
Dash Attack,21,-16,21/22—23,28,--,Close/Far,13.0/15.0
Forward Smash,17,-36 (-26),17—19,46,--,Normal/Crit,18.0/36.0 (Sour: 16.0/32.0)
Up Smash,13,-29 (-19),13—17,36,--,Normal/Crit,16.0/32.0 (Sour: 14.0/28.0)
Down Smash,9/20,-37/-26 (-29/-18),9—10/20—21,34,--,Normal/Crit,Normal: 13.0/26.0 (Sour: 11.0/22.0)
Neutral Air,8,-6,8—16,29,10,--,9.0
Forward Air,14,-7,14—17,25,12,Early/Late,10.0/12.0
Back Air,18,-9,18—20,27,14,Early/Late,12.0/14.0
Up Air,6,-5,6—10,22,8,--,7.0
Down Air,16,-12,16—18/19—24,38,18,Early/Late,16.0/10.0
Neutral B (Frizz/Frizzle/Kafrizz),[10(+7)]  [11(+25)]  [16(2/8/14/20)],-22/-28/-24,[10—65]  [11—56]  [16—73],--,--,-- / -- / projectile/eruption,9.0/18.0/19.0(3.0)
"Side B, (Zap/Zapple/Kazap)",[9/13(+7)]  [10/15(+16)]  [43/50/72/75/81],-12/-25/-29,[9—13/1—8]  [10—15/1—8]  [43—49/50/72/75/81—83/1—8],--,**,"close/far/bolt / first/second bolt / ""first/second/
third/bolt""",4.0
Up B (Woosh/Swoosh/Kaswoosh),[4(+3)]  [6/13/20/27(+13)]  [39/49/59/69/79/89],**,**,--,12/23/29,Multi/Final,7.0 / 3.0/4.0 / 3.0/4.0
Down B (Menu/Select),--,--,--,--,--,--,**
Bang,5,-16,5—39/1—21,--,--,Projectile/Explosion,1.5/14.0
Kaboom,6,+2,6—27/1—16/17—40,3,--,Projectile/Explosion,2.0/26.0
Sizz,6,-26,6—19/1—24,15,--,Projectile/Explosion,1.5/12.0
Sizzle,6,-30,6—17/1—24,19,--,Projectile/Explosion,3.0/22.0
Whack,6,-29,6—125,--,--,--,1.0
Thwack,23,-28,22—33,25,--,--,3.0
Kamikazee,44/50,--,44—49/50,--,--,--,0.1 / 50.0 (35.0)
Magic Burst,23/33/43/53/63/73/83/93/101,-36 — -24,23/33/43/53/63/73/83/93/101,50,--,Multi/Final,1.0—4.2/2.7—11.0
Snooze,6,--,**,--,--,--,--
Heal,**,--,--,--,--,--,Heals 11.0
Oomph,**,--,**,--,--,--,--
Acceleratle,**,--,**,--,--,--,--
Bounce,**,--,**,--,--,--,--
Kaclang,**,--,**,--,--,--,--
Zoom,**,--,**,--,--,--,--
Hocus Pocus,**,--,**,--,--,--,--
Flame Slash,6,-13,6—8,30,--,--,22.0
Kacrackle Slash,6,-12,6—8,27,--,--,17.0
Hatchet Man,37,Shield Breaks,37—40,48,--,--,35.0
Metal Slash,11,-26,11—12,27,--,--,1.0
Psych Up,**,--,--,--,--,--,--
