Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-20(-15),4—5,22,--,--,2.0(1.5)
Jab 2,4,-21(-12),4—5,24,--,--,3.5(2.6)
Forward Tilt,9,-14(-10),9—10,19,--,--,9.0(6.7)
Up Tilt,8/11/14/17/20/23/27,-16(-7),8—9/11—12/14—15/17—18/20—21/23—24/27,21,--,--,0.8/4.5(0.6/3.0)
Down Tilt,8,-16(-10),8—11,19,--,--,6.0(4.5)
Dash Attack,9,-24(-18),9—12,27,--,--,6.0(4.5)
Forward Smash,11,-27(-22),11—13,33,--,--,12.0(9.0)
Up Smash,12,-29(-24),12—17,32,--,--,11.0(8.2)
Down Smash,9/16,-22/-17,9—11/16,24,--,--,13.0(9.7)
Neutral Air,6,-4(+2),6—23,22,7,--,7.0(5.2)
Forward Air,19,-5(+3),19—20,36,10,--,12.0(9.0)
Back Air,8,-3(+0),8—11,24,7,--,10.0(7.5)
Up Air,7,-10(-3),7—11,24,14,--,9.0(6.7)
Down Air,12,-16(-12),12—51,12,20,--,8.0(6.0)
Neutral B (Ice Shot),18/19,-29(-24),18/19—**,--,--,--,3.5/3.5
"Side B, both (Squal Hammer, both)",10/14/18/23/28/34/40/51,-21,10/14/18/23/28/34/40/51—52,25,29,--,2.0/4.0
"Side B, alone (Squal Hammer, alone)",10/13/15/18/21/24/28/32/37/42/49,-24,10/13/15/18/21/24/28/32/37/42/49—50,27,29,--,1.2/2.0
Up B (Belay),13,--,16—33,--,27,--,16.0
Down B (Blizzard),16/21/26/31/36/41/46/51/56,-22(-15),lul,--,--,--,1.7(1.7)
