Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-13,3—4,15,--,--,2.0
Jab 2,2,-16,2—3,18,--,--,2.0
Jab 3,4,-21,4—5,24,--,--,3.5
Rapid Jab,4/7/10...,**,4/7/10...,--,--,--,0.4
Rapid Jab Finisher,6,-38,6,42,--,--,2.5
Forward Tilt,8,-17,8—10,24,--,--,9.0
Up Tilt,7,-16,7—12,17,--,--,6.0
Down Tilt,5/12,-13,5—8/12—15,16,--,--,3.0/6.0
Dash Attack,8,-16,8—9/10—13,22,--,--,8.0/6.0
Forward Smash,16,-25/-24,16—17,34,--,Close/Far,14.0/16.0
Up Smash,9/18,-44/-29/-32,9—10/18—20,37,--,First/Close/Far,4.0/15.0/10.0
Down Smash,11/20,-29/-21,(11—12/13—15)/(20—21/22—24),25,--,--,12.5/11.0
Neutral Air,6,-2,6—9,22,5,--,7.0
Forward Air,10,-8/-9,10—11/12—21,20,12,Tipper/Early/Late,12.0/10.0/7.0
Back Air,7,-2/-3,7—11,25,6,Far/Close,10.0/7.5
Up Air,12/17,-3/-3,12—15/17—20,23,6,--,4.5/6.5
Down Air,16,-5/-6,16—17,44,10,Far/Close,12.0/10.0
Neutral B (Splattershot),12/16/20/24,-6,16/16/20/24,12,--,--,0.3
Side B (Splat Roller),16,-15 to -12,16...,1,--,--,4.0—11.0
Up B (Super Jump),12,**/-29/-30,12/15—21/1—10,--,40,Ground/Aerial/Landing,8.0/6.0
Down B (Splat Bomb),20—40,**,**,--,--,--,9.4—15.0
