Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,7,-17,7—8,19,--,--,2.0
Jab 2,5,-19,5—6,21,--,--,2.0
Rapid Jab,4/7/10...,--,4/7/10...,--,--,--,0.5
Rapid Jab Finisher,4,-32,4—5,34,--,--,2.0
Forward Tilt,10/12/14/16/18/20/22,-20,10/12/14/16/18/20/22,23,--,Multi/Final,1.5/2.0
Up Tilt,7,-18,7—13,19,--,--,7.0
Down Tilt,4,-21,4—6,25,--,--,5.5
Dash Attack,4,-27,4—11/12—19,24,--,Early/Late,12.0/10.0
Forward Smash,15,-33,15—18/19—20,39,--,Early/Late,16.0/14.0
Up Smash,26,-21,26—29,30,--,--,17.0
Down Smash,13,-26/-25/-24,13—14,31,--,close/far/farther,8.0/10.0/12.0
Neutral Air,7/10/13/16/19/22/25/28,-14/-14,7—26/28—29,12,16,Multi/Final,1.0/2.0
Forward Air,14,-8,14—18,30,13,--,12.0
Back Air,7/13,-5/-4,7—9/13—15,28,7,--,3.0/6.0
Up Air,12,-6,12—13,38,11,--,15.0
Down Air,11,-9,11—12,51,13,--,10.0
Neutral B (Bullet Seed),7,-34,"7, 13—20, 19—26, 25—32, 31—38...",6,--,First/multi/later multi/final,3.0/1.5/1.3/3.0
Side B (Razor Leaf),24,-14,24-34/35-53/54-73,--,--,Early/late/later,8.0/6.0/4.0
Up B (Vinewhip),15,-22/-20,15—17,30,--,Close/Far,11.0/13.0
Down B (Pokemon Change),--,--,**,--,--,--,--
