Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,5,-7,5—6,10,--,--,3.0
Jab 2,5,-7,5—6,10,--,--,3.0
Forward Tilt,7,-7,7—10,14,--,--,10.0
Up Tilt,9,-6,9—10(11—13),11,--,Early/Late,9.0/8.0
Down Tilt,10,-10,10—12,18,--,--,10.0
Dash Attack,5,-23,5—7(8—20),19,--,Early/Late,12.0/8.0
Forward Smash,16,-22,16—19(20—24),25,--,Early/Late,16.0/14.0
Up Smash,16,-19,16—19,26,--,--,15.0
Down Smash,14,-26,14—16,32,--,--,11.0
Neutral Air,6,-5/-6,6—7(8—30),13,9,Early/Late,11.0/6.0
Forward Air,8,-5/-6,8—9(10—20),16,9,Early/Late,9.0/6.0
Back Air,10,-3,10—11,24,8,--,13.0
Up Air,9,-5,9—21,18,9,--,9.0
Down Air,7/10/13/16/19/22/25/28/31,-13,7—8/10—11/13—14/16—17/19—20/22—23/25—26/28—29/31—32,20,12,Multi/Final,1.5/2.0
Neutral B (Rollout),~40/~60,**,**,--,--,--,10.0—20.0
Side B (Pound),13,-11,13—28,11,--,--,11.0
Up B (Sing),27/61/100,--,27—36/61—70/100—115,34,--,--,--
Down B (Rest),2,-166,2—4,205,--,--,20.0
