Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-16,4—5(4—5),18,--,--,2.0(2.7)
Jab 2,3,-17,3—4(3—4),19,--,--,1.5(2.2)
Jab 3,3,-26,3—4(3—4),30,--,--,4.0(7.1)
Forward Tilt,8/13,**/-15(**/-11),8—9/13—15(8—9/13—19),15,--,--,3.0/5.0(3.0/10.0)
Up Tilt,8/11/14/17/20,-27,8/9(11—19) [Final Hit: 20—23(20—23)],--,--,First/Multi/Final,4.0/1.0/1.0 (4.0/1.7/3.9)
Down Tilt,8,-22(-19),8—9/10—11/12—14(8—9/10—11/12—14),23,--,--,6.0(13.0)
Dash Attack,6/15,**/-23,6—7/15—21(--/15—21),24,--,--,2.0/6.0 (2.0/12.0)
Forward Smash,16,-21,16—18(16—19),28,--,--,14.0(22.0)
Up Smash,10,-32(-30),10—14(10—14),37,--,--,12.0(17.0)
Down Smash,12/16,-24/-20(--/-18),12—13/16—17(12—13/16—17),34,--,--,12.0(18.0)
Neutral Air,12,-5,12—27(12—27),27,8,front/back,7.0/—(7.0/4.0)
Forward Air,7/12,-10/-9,7—8/12—14(--/12—14),33,12,--,2.0/5.0(2.0/13.0)
Back Air,7,-5,7—8(7—8),23,9,--,9.0(16.0)
Up Air,5...,-12,5—18/20—21 (rehit: 4),18,14,multi/final,0.7/3.0 (0.7/10.0)
Down Air,13,-7,13—16(15—16),30,11,Knife/Meteor,8.0/—(8.0/8.0)
Neutral B (Gun),12/37/65,**,12,24,--,Close/Med/Far,5.0/3.0/1.0
"Gun, Dash Forward",20,**,20,19,--,Close/Med/Far,6.0/4.0/2.0
"Gun, Dash Back",22,**,22,23,--,Close/Med/Far,5.0/3.0/1.0
"Gun, Jump (From Ground Only)",10/17/24/31,**,10/17/24/31,28,14,Close/far,3.0/0.8
"Gun, Spiral (From Air Only)",12/15/18/24/27/30/ 36/39/42/48/51/54,**,12/15/18/24/27/30/ 36/39/42/48/51/54,15,20,--,3.0
"Gun, Shoot Below (From Air Only)",7/21/35/44,**,7/21/35/44,4,10,Close/Far,4.0/1.2
"Neutral B, Arsene (Gun Special, Arsene)",12/18/24,**,12/18/24,17,--,close/med/far/farthest,6.0/3.0/1.0
"Gun Special, Dash Forward",21/27/33,**,21/27/33,12,--,Close/Med/Far/Farthest,7.0/4.0/1.5/1.0
"Gun Special, Dash Back",23/29/35,**,23/29/35,14,--,Close/Med/Far,5.0/3.0/1.0
"Gun Special, Jump (From Ground Only)",10/13/17/20/24/27/31,**,10/13/17/20/24/27/31,28,14,Close/far,3.0/0.8
"Gun Special, Spiral (From Air Only)",12/15/18/24/27/30/ 36/39/42/48/51/54,**,12/15/18/24/27/30/ 36/39/42/48/51/54,15,20,--,4.5
"Gun Special, Shoot Below (From Air Only)",7/14/21/28/35/44,**,7/14/21/28/35/44,4,10,Close/Far,4.0/1.6
Side B (Eiha),16,-27,16—42/1—19,10,--,Contact/Erupt,1.0/2.0
"Side B, Arsene (Eigaon)",16 (1/6/11/16),**,16—32(1—15/16—27),25,--,Contact/Erupt,1.0/0.5/2.5
Up B (Grappling Hook),20,**,20—26,33,--,--,--
"Air, Grappling Attack",5,--,5,23,--,--,11.0
"Up B, Arsene (Wings of Rebellion)",**,--,**,--,30,--,--
Down B (Rebel's Guard),3 (Start of Block),--,--,--,--,--,--
"Rebel's Guard, Counterattack",8,--,8—9,21,--,--,2.4
"Down B, Arsene (Tetrakarn/Makarakarn)",4 (Start of Counter),--,4—31(Counter/Reflect active),--,--,--,--
"Arsene, Tetrakarn Counterattack",4,--,5—7,31,--,--,--
"Arsene, Makarakarn Reflect",--,--,1—29,12,--,--,--
