Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,6,-11,6—7,15,--,--,3.0
Jab 2,7,-15,7—8,18,--,**,3.0
Jab 3,7,-20,7,23,--,--,2.0
Jab 4,10,-25,11—12,27,--,--,3.0
Jab 5,12,-23,12,27,--,--,3.0
Jab 6,23,-24,24—25,27,--,--,4.0
Jab 7,15,-24,14,28,--,--,1.5
Jab 8,18,-25,18,28,--,--,1.5
Jab 9,16,-26,16,32,--,--,5.0
Jab 10,29,Unblockable,29,41,--,--,12.0
Flash Punch Combo (Final Hit),7,-20,7—10,26,--,--,9.0
Forward Tilt (Oni Front Kick),12,-17,12—16,24,--,--,14.5
Down-Forward Tilt (Tsunami Kick),10/26,-19/-14,10—11/14—16,20,--,--,7.0/10.5
Down Tilt (Neijiri Uraken),16,-15,16—18,27,--,--,15.0
Down-Back Tilt (Stature Smash),13,-12,13—15,24,--,--,9.0
Back Tilt (Flash Tornado),11,-9,11—13,21,--,--,15.0
Up-Back Tilt (Jump Side Kick),14,-13,14—17,22,--,--,13.5
Up Tilt (Twin Pistons),9/24,-14/-18,9—10/14—16,13,--,--,6.0/10.0
Up-Forward Tilt (Roundhouse to Triple Spin Kicks...),14/30/49/67,-22/-28/-26/-23,14—16/11—12/16—17/14—16,25,--,first/multi/final,6.0/3.0/10.5
Demon's Wrath (Side Taunt),18/31/47/62,-21,7—10,79,--,first/multi/final,6.0/3.0/6.0
*Crouching* Down-Forward Tilt (Tombstone Crusher),14,-20,14—16,34,--,--,16.5
*Crouching* Down Tilt (Crouch Jab),7,-13,7—8,18,--,--,5.0
*Crouching* Down-Back Tilt (Crouch Spin Kick),11,-9,11—16,19,--,--,11.0
Double Dash Attack (Left Splits Kick),13,-10,13—15,25,--,--,18.0
Dash Attack,15,-19,15—16(17—19),28,--,Close/Far,14.0/16.0
Forward Smash,25,-16/-13,25—26,41,--,Close/Far,23.0/26.0
Up Smash,12,-22,12—13(14—16),31,--,Early/Late,19.0/15.0
Down Smash,17,-16,17—18(19),27,--,"Clean Hand, Late Grounded Hand / Clean Arm, Late Grounded Arm / Late Aerial Hand / Late Aerial Arm",17.0/15.0/13.0/11.0
Demon God Fist (Uncrouching Attack),13,-16,13—14,26,--,--,12.0
Wind God Fist,8,-13,8—11,24,--,--,13.5
Electric Wind God Fist,8,--,8—11,24,--,--,14.5
Dragon Uppercut,5+15,-22,15(16/17/18-20),27,--,Early/Mid/Late/Latest,22.0/18.0/16.0/14.0
Spinning Demon to Left Hook,10/34,-19,10—12/34—36,30,--,--,7.0/14.5
