Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1 (Light),2,-10,2—3,12,--,--,1.5
Jab 2,3,-21,3—4,23,--,--,1.5
Jab 3,8,-21,8—10,25,--,--,5.0
"Jab (Heavy, Close)",7,-19,7(8—11),26,--,--,12.0/8.0
"Jab (Heavy, Far)",9/16,-10/-6,9—12/16—17,15,--,--,6.0/10.0
"Forward Tilt (Light, Close)",3,-20,3—4,25,--,--,6.0
"Forward Tilt (Light, Far)",8,-8,8—11,12,--,--,6.8
Forward Tilt (Heavy),10,-18/-14,10—13,21,--,close/far,5.0/10.0
Up Tilt (Light),3,-8,3—6,8,--,--,2.0
Up Tilt (Heavy),7,-19,7(8—11),26,--,--,12.0
Down Tilt (Light),2,-9,2—3,11,--,--,1.6
Down Tilt (Heavy),6,-15,6—7,20,--,Sweet/Sour,7.0/5.5
Dash Attack,7,-22,7—9(10—15),25,--,Early/Late,12.0/8.0
Forward Smash,13,-24/-21,13—15,30,--,Close/Far,12.0/16.0
Up Smash,9,-24,9(10—12),32,--,Early/Late,17.0/13.5
Down Smash,5,-25,5—6,35,--,Sweet/Sour,16.0/12.0
Neutral Air,6,"-2/-2, -1/-2",6—8(9—17),10,5,"Early/Late Foot, Early/Late Knee",6.5/4.0
Forward Air,8,"-7/-6, -7/-6",8—9(10—14),22,11,"Early foot/knee, Late foot/knee","9.0/14.0, 8.0/12.0"
Back Air,8,-4/-5,8—9,32,10,Close/Far,16.0/13.0
Up Air,5,-8,5—9,26,11,--,6.5
Down Air,8,-10,8—12,33,15,--,12.0
Neutral B (Hadouken),13,-35/-34,13—19(20—87) / 13—18(19—79) / 13—17(18—72),--,--,"Normal, True",Light: 4.5 // Medium: 5.0 // Heavy: 5.5
Side B (Tatsumaki Senpukyaku),8/13—38,-25 to -30,8—9(13—14/18—19/23—24/28—29/33—34/38—39),--,--,"normal early/late, true early/late","3.0/3.0, 3.4/3.4"
"Side B, Air (Tatsumaki Senpukyaku, Air)",8/13/18/23/28/33/38,-36,8—9(13—14/18—19/23—24/28—29/33—34/38—39),38,--,"normal early/late, true early/late","3.0/2.0, 3.4/2.3"
Up B (Shoryuken),6,**,6—8(9—19),--,12,Early/Late,13.0/7.0
True Shoryuken,6,**,6—8(9—19),--,8,Early/Late,15.6/8.4
Up B (Flame Shoryuken),5/6/9,**,5/6—8/9—19,--,18,--,2.2/8.0/6.5
True Flame Shoryuken,5/6/9,**,5/6—8/9—19,--,12,--,2.6/9.6/7.8
Down B (Focus Attack),"12 (+21), 12(+31), 12(+59)","-32, -33, unblockable",32—33/42—43/70—71,--,--,"Stage 1, Stage 2, Stage 3","12.0, 10.0, 17.0"
"Focus Attack, Dash Cancel",--,-8/-9,**,--,--,--,--
Nata Otoshi Geri (Input Command),12/15,-7,12/15—16,12,--,first/second,5.0/5.0
HELD Nata Otoshi Geri,12/20,-17,12/20—22,29,--,first/inazuma kick,5.0/12.0
Oosoto Mawashi Geri (Input Command),9,-12,9—10,22,--,normal/inazuma,12.0
HELD Oosoto Mawashi Geri,9/17,-17,9—10/17—19,29,--,normal/inazuma,12.0/12.0
