Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,10,-18,10—11,21,--,--,2.5
Jab 2,11,-13,11—12,15,--,--,2.2
Rapid Jab,5/8/11...,--,34—**,--,--,--,0.5
Rapid Jab Finisher,4,-41,**,--,--,--,3.0
Forward Tilt,12/16/20/23,-21,12—21/23,25,--,Multi/Final,2.0/3.0
Up Tilt,7,-21/-23,7—13,25,--,Close/Far,10.0/8.0
Down Tilt,6,-21,6—7(8—11),26,--,Early/Late,10.0/6.0
Dash Attack,26,-26,26—27(28—41),25,--,Early/Late,16.0/13.0
Forward Smash,40,?/-/-18/-25,40—41(42—43/44),33,--,Early/close/far/Shockwave,16.0/18.5/25.0/11.0
Up Smash,17,-39,17—24,43,--,--,16.0
Down Smash,14,-31/-23,14—22,30,--,--,13.0
Neutral Air,7,-4/-6,7—8(9—29),10,9,Early/Late,12.0/7.0
Forward Air,13,-13,13—15,26,18,--,12.0
Back Air,17,-7,17—19,18,13,--,16.0
Up Air,10/12/14/16/18/20/22/24,-10,10/12/14/16/18/20/22/24—25,19,13,Multi/Final,1.0/5.0
Down Air,22,-13/-14,22—23,24,18,Meteor/Late,15.0/8.0
Neutral B (Inhale),14,--,17—**,--,--,--,--
"Inhale, Spit",6,--,**,--,--,--,--
Side B (Gordo Throw),29,-21/-11/-17,29(5—146),--,--,Hammer/gordo/both,10.0/9.5—14.0
Up B (Super Dedede Jump),69,-46,69/4—5/6—20,--,60/30,Falling/landing/stars,15.0/12.0/5.0
"Down B (Jet Hammer, Partial Charge)",10(+17),-39 to -24,27—29,30,--,--,11.0—29.8
"Down B, Full Charge (Jet Hammer, Full Charge)",10,-26,10—11,58,--,--,40.0
