Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,2,-9,2,12,--,--,1.8
Jab 2,3,-9,3,12,--,--,1.6
Rapid Jab,5/7/9/11...,--,5/7/9/11...,--,--,--,0.2
Rapid Jab Finisher,3,-32,3—4,35,--,--,3.0
Forward Tilt,5,-10/-11,5—8,15,--,Close/Far,8.0/7.0
Up Tilt,4,-10/-9,4—5/6—10,10,--,Early/Late,5.0/4.0
Down Tilt,4,-9,4—6,14,--,--,6.0
Dash Attack,9,-31,9—17/18—26/27—34,17,--,Early/Late/Latest,12.0/9.0/6.0
Forward Smash,13,-23,13—15/16—19,28,--,Early/Late,15.0/11.0
Up Smash,12,-23/-24,12—14/15—16/17,28,--,"(Clean/Mid/Late, all split like Close/Tip)",(15.0%/14.0%)/(14.0%/13.0%)/(13.0%/12.0%)
Down Smash,7,-33,7—11/12—19,31,--,--,14.0/10.0
Neutral Air,8,-2/-3,8—9/10—13/14—18/19—32,20,6,Early/Late,10.0/8.0/6.0/4.0
Forward Air,10/17/25,-5/-6/-5,10—11/17—18/25—27,20,8,--,4.0/4.0/6.0
Back Air,6,-5/-6,6—8/9—12,28,10,Early/Late,13.0/8.0
Up Air,8,-3,8—13,22,7,--,10.0
Down Air,18/21/24/27/30/34,-12,18—19/21—22/24—25/27—28/30—31/34,20,16,multi/final/landing,1.2/2.0/2.0
Neutral B (Inhale),10,--,10—44 (longer if held),--,--,--,--
"Inhale, Copy/Spit",8/8,**,**,--,--,--,10.0(Swallow)/6.0(Spit)
Side B (Hammer),11(+15),-26 to -18,26—27 (11—12 from charge),27,--,--,19.0—28.8
"Hammer, Full Charge",11,-18,11—12,47,--,--,35.0
Hammer (Air),28/42,**/**,28—29/42—43,28,--,--,16.0
Up B (Final Cutter),23/(41/50...)/**/**,--/--/-21/**,23—26/(41—49/50...),--,30,Rising/Falling/Landing/Projectile,5.0/2.0/(5.0/2.0)/6.0
Down B (Stone),11,-35,**,--,--,--,14.0
"Down B, Air (Stone, Air)",29,-17,29—47 (**),--,--,--,18.0
