Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,7,-12,7—8,15,--,--,3.0
Jab 2,5,-16,5—6,19,--,--,3.0
Jab 3,6,-23,6—7,27,--,--,4.0
Forward Tilt,15,-12,15(16—19),20,--,--,13.0
Up Tilt,8,-17,8—12,23,--,--,11.0
Down Tilt,10,-11,10—11,19,--,--,9.0
Dash Attack,20,-21,20—23,33,--,Tip/Middle/Hilt,14.0/13.0/12.0
Forward Smash 1,17,-27/-23/**,17—18,32,--,Blade or Hilt/Tip,7.0/14.0
Forward Smash 2,10,-41,10—11,49,--,Far/Close,13.0/12.0
Up Smash,10/25/41,-28,10—13(14—15) / 25—28(29—30) / 41—45,32,--,(Hit 1/Hit 2/Hit 3(Sword/Arm/Body)),4.0%/3.0%/(11.0%/10.0%/9.0%)
Down Smash,12/24,-33/-24,12—13/24—25,31,--,(Front hit (Middle/Tip/Body)/Back hit (Sword/Arm/Body)),(16.0%/17.0%/14.0%)/(12.0%/11.0%/10.0%)
Neutral Air,7,-2/-3,7—8(9—31),7,6,(Clean (Foot/Legs)/Late),(11.0/9.0)/6.0
Forward Air,16/24,-7/-7,16—17/24—25,26,11,--,8.0/10.0
Back Air,6/15,-3/-3,6—8/15—17,13,6,First/Second,5.0/7.0
Up Air,11,-9,11—13(14—40),19,14,Early/Late,15.0/13.0
Down Air,14,Bounce: ** \| Fast Fall: -13/-14,14—19(20—64),15,19,Early/Late,18.0/15.0
Neutral B (Hero's Bow),16-52,-21 to -15,16—61,--,--,Uncharged—Full Charge,4.0—12.0
Side B (Boomerang),27,-8/-6,27—35(36—63/64—155),--,--,Clean/Late/Returning,8.0/9.6
Up B (Spin Attack),7,-56,7—8(9—13/14—23/24—39),37,--,(Clean/Mid/Late/Latest with all of them split Blade/Tip),(14.0%/11.2%)/(12.0%/9.6%)/(9.0%/7.2%)/(7.0%/5.6%)
"Up B, Air (Spin Attack, Air)",8/16/22/31/47,--,8—9/12—13/16—17/19—20/22—23/26—27/31—32/38—39/47—49,--,30,First/multi/Final,4.0/2.0/4.0
"Down B (Remote Bomb, Pull)",--,--,--,--,--,--,--
"Down B (Remote Bomb, Detonate)",12,-19,12—13,26,--,--,7.0
