Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,5,-16 \| -15 \| -14,5—6,18,--,--,1.6 \| 2.5 \| 4.0
Jab 2,5,-18 \| -18 \| -17,5—6,20,--,--,1.3 \| 2.0 \| 3.2
Jab 3,9,-23 \| -22 \| -21,9—10,25,--,--,1.9 \| 3.0 \| 4.8
Forward Tilt,12/15,-12 \| -11 \| -8,12—14/15—16,16,--,First/Second,2.6/3.9 \| 4.0/6.0 \| 6.4/9.6
Up Tilt,6,-22/-21 \| -20/-20 \| -18/-17,6—13,19,--,Close/far,3.3/3.9 \| 5.0/6.0 \| 8.0/9.6
Down Tilt,7,-9 \| -7 \| -5,7—10,10,--,--,3.3 \| 5.0 \| 8.0
Dash Attack,7,-28/-27 \| -26/-24 \| -22/-20,7—10(11—15),26,--,"Early close/far, Late close/far",5.6/6.6/4.6/3.9 \| 8.5/10.0/7.0/6.0 \| 13.6/16.0/11.2/9.6
Forward Smash,19,-27/-25 \| -24/-26 \| -19/-21,19—20(21—22),32,--,Close/far,10.5/8.5 \| 16.0/13.0 \| 25.6 / 20.8
Up Smash,15/19,-37/-38 \| -34/-36 \| -30/-31,15—17/19—20/21—23,40,--,"First, second far, second close",2.6/9.2/7.9 \| 4.0/14.0/12.0 \| 6.4/22.4/19.2
Down Smash,16,-28 \| -25 \| -21,16—18,33,--,--,9.2 \| 14.0 \| 22.4
Neutral Air,10/18,-2/-2 \| -1/-2 \| 0/-1,10—14/18—21,21,5,--,5.2/3.9 \| 8.0/6.0 \| 12.8/9.6
Forward Air,7,-6 \| -6 \| -5,7—8,19,9,--,3.9 \| 6.0 \| 9.6
Back Air,13,-10/-10 \| -9/-9 \| -7/-7,13—14(15—16),33,14,--,9.2/8.5 \| 14.0/13.0 \| 22.4/20.8
Up Air,10,-10/-10 \| -9/-10 \| -7/-9,10—11(12—13),25,13,Far/close,7.2/3.9 \| 11.0/6.0 \| 17.6/9.6
Down Air,4/11,-10/-9 \| -9/-9 \| -8/-8,4—5/11—12,18,12,--,3.3/3.9 \| 5.0/6.0 \| 8.0/9.6
Neutral B (Aura Sphere),9 (+8),-26 \| -25 \| -23,17—**,--,--,--,4.5 -11.3 \| 6.0 - 17.2 \| 11.0 - 27.6
"Aura Sphere, Full Charge",17,-23 \| -18 \| -11,17—**,--,--,--,11.3 \| 17.2 \| 27.6
Side B (Force Palm),(9)24,-24/-30 \| -19/-27 \| -10/-24,24—25,38,--,Close/far,7.8/3.5 \| 11.5/5.4 \| 19.0/8.6
"Force Palm, Throw","Throw Hit: 23, Throw: 29",--,Throw Hit: 23—24,18,--,--,"Throw Hit: ** \| 10.0 \| **
		Throw: 8.5  \| 13.0 \| 20.8"
Up B (Extreme Speed),46,-23/-31 \| -22/-31 \| -19/-29,46—47(1),--,40/37,--,3.9/2.6 \| 6.0/4.0 \| 9.6/6.4
Down B (Double Team),5 (Start of Counter),--,5—24(counter),--,--,--,--
"Double Team, Counterattack",8,-31 \| -27 \| -21,**,--,--,--,8.2 \| 12.5 \| 20.0
