Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,2,-14,2—3,16,--,--,2.2
Jab 2,2,-16,2—3,18,--,--,1.7
Jab 3,3,-29,3—4,29,--,--,4.0
Forward Tilt,5,-13,5—7,18,--,--,7.0
Up Tilt,5,-18,5—11,18,--,--,5.5
Down Tilt,5,-15/-16,5—7,20,--,Close/Far,7.0/5.0
Dash Attack,6,-17,6—9(10—25),12,--,Early/Late,8.0/6.0
Forward Smash,15,-22/-20,15—17,30,--,Far/Close,17.7/14.6
Up Smash,9,-20,9—12,27,--,--,14.0
Down Smash,5/14,-31/-21,5—6/14,29,--,First/Second,10.0/12.0
Neutral Air,3,-2/-3/-3/-3,3—5(6—27),18,6,Early/Late,8.0/5.0
Forward Air,16,-12/-12/-12,16/17—20/21,38,17,Early/Clean/Late,12.0/14.0/10.0
Back Air,6,-2/-3/-2/-3,6—7(8—10),23,6,Early/Late,10.5/7.0
Up Air,4,-3,4—7,23,6,--,7.0
Down Air,5/7/9/11/13/23,-11,5/7/9/11/13/23(1—2),14,15,Multihit/Final/Landing,1.3/5.5/2.0
Neutral B (Fireball),17,-23,17—21(22—46/47—86),--,--,Early/Late,5.0/4.0
Side B (Cape),12,-16,12—14,21,--,--,7.0
Up B (Super Jump Punch),3...,--,3-6/7-16/17-18,--,30,First/multihit/Final,5.0 / 0.6 / 3.0
Down B (F.L.U.D.D.),2 (+19),--,21—**,--,--,--,--
"Down B, Fully Charged (F.L.U.D.D.)",21,--,21—**,--,--,--,--
