Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,7/19/31,-25/-23/-20,7 [7—9(10—13/14—30)] / 19 [19—22(23—26/27—42)] / 31 [31—34(35—38/39—54)],--,--,Cannon/Projectiles,3.0/4.0/2.0
Forward Tilt,7/19/31,-25/-23/-20,7—9(10—13/14—30) / 19—22(23—26/27—42) / 31—34(35—38/39—54),--,--,Cannon/Projectiles,3.0/4.0/2.0
Up Tilt,6,-49/-31/-33,6(7—9/10—16),54,--,Early/late/later,17.0/12.0/8.0
Down Tilt,5,-33,5—8(9—21),25,--,Early/late,8.0/5.0
Dash Attack,7/10/13/16/19/22/25/35,-16,7/10/13/16/19/22/25/35,24,--,Multi/final,1.2/4.0
Forward Smash,19,-18,19—42(79—108/199—222),--,--,--,11.5
Up Smash,8/11/15/19/23/27/31,-32,8/11—12/15—16/19—20/23—24/27—28/31,37,--,First/multi/final,2.0/1.5/6.0
Down Smash,17,-50,17(18—19/20—33),45,--,--,17.0
Neutral Air,7/19/31,-25/-23/-20,7 [7—9(10—13/14—30)] / 19 [19—22(23—26/27—42)] / 31 [31—34(35—38/39—54)],--,--,Cannon/Cannon(air)/Projectile,3.0/4.0/2.0
Forward Air,9,-7/-7/-8,9—11(12—17),23,11,Far/Close/Late,8.5/8.0/5.0
Back Air,4/7/10,-18/-17/-17,4—5/7—8/10—11,33,20,--,3.0/4.0/5.0
Up Air,11...,--,11—17/18—31/32—54/55—61 (rehit: 3/5/5/5),--,20,Early/late/final,3.0/1.0/2.0
Down Air,23,+1/+0,23—25(26—35),29,14,Early/Meteor,14.0/12.0
Neutral B (Metal Blade),16,-17,**,--,--,--,5.0
Side B (Crash Bomber),19,**,19—69,--,--,Multi/Final,1.0/4.0
Up B (Rush Coil),--,--,--,--,--,--,--
Down B (Leaf Shield),9—**,**,9—**,--,--,--,1.5
"Leaf Shield, Throw",--,**,**,--,--,--,3.8
