Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Rapid Jab,4/7/10...,--,4/7/10...,5,--,--,1.0
Rapid Jab Finisher,3,-24,3,27,--,--,2.0
Forward Tilt 1,6,-16,6,19,--,--,2.0
Forward Tilt 2,2,-22,2,25,--,--,2.0
Forward Tilt 3,2,-23,2,28,--,--,4.0
Up Tilt,8,-20/-19,8—10/11—14,20,--,Close/Tipper,6.0/7.0
Down Tilt,3,-9,3—4,14,--,--,5.0
Dash Attack,7,-18,7—11,21,--,Early/Late,7.0/6.0
Forward Smash,24,-6,24,17,--,--,16.0
Up Smash,8/12/17,-28,8/12/17,32,--,--,4.0/3.0/5.0
Down Smash,4/9,-26/-19,4/9,28,--,--,10.0/13.0
Neutral Air,6,-3/-4,6—7/8—20,23,7,Early/Late,10.0/7.5
Forward Air,9/12/15,-8/-8,9/12/15,24,10,Multi/Final,1.5/3.0
Back Air,7/13/20,-9/-8,7—8/13—14/20—21,30,11,Multi/Final,1.5/4.0
Up Air,6,-6,6,20,9,--,4.0
Down Air,4,-6,4,23,9,--,6.0
Neutral B (Mach Tornado),12,-81,12—21/22—46,58,29,--,12.0/8.0
Side B (Drill Rush),26/30/34/38/42/46/ 50/54/58/62/66/70,-24,26—69/70,28,26,--,1.1/3.0
Up B (Shuttle Loop),8/22,**,(8/9—10/11—12)22—27,--,30,Early/Late/Second,9.0/6.0/6.0
"Up B, Air (Shuttle Loop, Air)",7/20,**,(7/8—10)20—26,--,30,First/Second,6.0/6.0
Down B (Dimensional Cape),--,--,**,--,30,--,--
"Dimensional Cape, Attack",34,-44,34,58,30,--,16.0
