Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,2,-10,2—3,12,--,--,1.8
Jab 2,2,-14,2—3,15,--,--,1.0
Rapid Jab,5/7/9...,--,**,--,--,--,0.5
Rapid Jab Finisher,4,-33,4—5,35,--,--,2.0
Forward Tilt,6,-13/-13/-13,6—8,19,--,neutral/down/up,8.0/8.3/8.5
Up Tilt,5,-18,5—12,17,--,--,6.0
Down Tilt,7,-12,7—8,19,--,--,8.0
Dash Attack,6,-19,6—9(10—17),18,--,Early/Late,11.0/6.0
Forward Smash,17,-38,17—18,49,--,--,18.0
Up Smash,8,-29,8—12(13—14),33,--,Early/Late,14.0/10.0
Down Smash,9,-25,9—10,33,--,--,13.0
Neutral Air,3,-2/-3,3—5(6—29),16,6,--,10.0/5.0
Forward Air,8/15,-8/-8,8—9/15—17,27,11,First/Second,5.0/6.0
Back Air,7,-6,7—9,30,11,--,12.0
Up Air,6,-6,6—10,25,10,--,9.0
Down Air,16,-13,16—17(18),31,18,--,13.0
Shot Put,28,-19,28—**/59,8,--,Falling/After Bounce,15.0/11.2
Flashing Mach Punch,10/14/17/20/23 (25/27/29/31/33/35/37/39/41/43/45/47/49/51/53/55/65,-30,10/14/17/20/23,70,--,Multi/Final,0.4/9.5
Exploding Side Kick,50/52,-7/-5,50—52 (Reverse: 62—64 to 81—73),--,--,Normal/Reversed,25.0/28.0
Onslaught,16—30 + 4,--,"Dash: 16—30 
		Hit: 4—5/8—10/13/15—16/18—19/28—29",41,--,--,2.0/1.5/5.0
"Onslaught, Air",16—30 + 4,--,"Dash: 16—30 
		Hit: 4—5/8—10/13/15—16/18—19/28—30",--,30/40,--,2.0/1.5/5.0
Burning Dropkick,18,-22,18—29,39,--,--,13.0
"Suplex, Grab",13,--,13—21,30,--,--,--
"Suplex, Success",82,--,**,--,--,grab/landing,3.0/15.0
Soaring Axe Kick,10/30,-23,10—15/3—**/1—2,--,22/29,rising/falling/landing,4.0/3.0/4.0
Helicopter Kick,8...,--,"Ground: 8—9/15/20/26/31/36—37
		Air: 8/15/20/26/31/36—37",--,26,--,3.0/1.5/6.0
Thrust Uppercut,3/6/9/12/15/20,--,3—4/6—7/9—10/12—13/15/20—21,--,30,multi/final,0.8/9.0
Head-On Assault,8/31 (34/37/40...),-44,**,--,58,rising/falling/landing,6.0/16.0/14.0
"Head-On Assault, Air",23(26/29/32...),-44,**,--,58,--,16.0(1.0)/14.0
Feint Jump,--,--,**,--,29,--,--
"Feint Jump, Kick",8,-27,8—21(1—2),31,37,Kick/Landing,10.0
Counter Throw,--,--,6—23 (counter),--,--,--,--
"Counter Throw, Activated",3/16,--,**,--,--,--,--
