Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,5,-17,5—6,19,--,--,1.7
Jab 2,4,-18,4—6,19,--,--,1.8
Jab 3,6/12,-20,"6—8, 12—13",24,--,--,1.0/4.5
Forward Tilt,7,-14,7—8/9—10/11—12,21,--,Early/Late/Later,13.0/10.5/8.0
Up Tilt,5,-22,5—7/8—9,28,--,Early Far/Close/Late Far (Close damage doesn't update on the late hit),10.0/9.0/8.0
Down Tilt,8,-19,8—10,30,--,--,14.0
Dash Attack,10,-20,10—14,31,--,--,11.0
Forward Smash,17...,-31,17—38(rehit: 4)/40,37,--,Multi/Final,1.8/7.5
Up Smash,11/15/19/23/27,-22,11—12/15—16/19—20/23—24/27—28,27,--,First/multi/final,3.0/2.5/7.0
Down Smash,9/23,-35/-19,9/23—25,27,--,--,11.5/14.0
Neutral Air,8,-7,8—21,20,11,--,10.0
Forward Air,12,-1,12—16/17—20,23,12,Early/Late,8.0/6.0
Back Air,9,-6,9—10/11,36,11,Normal/Late,13.0/11.0
Up Air,17...,-11/-10,17/18—32(rehit: 3)/34,25,13,Multi/Final,1.8/4.0
Down Air,20,-12/-13/-12,20—21/22—25,29,17,Far/close/late,15.0/10.0/12.0/8.0
Charge Blast,3(+12),-27 to -6,3—62,--,--,--,4.0—26.0
Laser Blaze,10,-24,10—33,9,--,--,5.0
Grenade Launch,32,+6,32—111,--,--,Multi/Final,1.3/6.5
Flame Pillar,21,-37,21—40,23,--,Multi/Final,2.2/2.7
Stealth Burst,36—66,-22/-17/-22,"Min: 36—38
		Max: 66—68",2,--,--,12.1—18.0
Gunner Missile (Homing),27,-10,27—121,--,--,--,7.5
Gunner Missle (Super),23,-12,23—93,--,--,--,14.5
Lunar Launch,10,--,10—25,--,18,--,7.0
Cannon Jump Kick,6/10,**,6—7/(10—15/16—30),--,28,first/second/late,9.0/8.0/6.0
Arm Rocket,**,--,**,--,14,--,--
Echo Reflector,3 (4 is Start of Reflector),-32,**,--,--,--,2.0
Bomb Drop,18—133,-14,18—133/1—4,--,--,contact/explosion,2.0/9.0
Absorbing Vortex,7,-12,7—11,13,--,--,4.0
