Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,6,-9,6—7,12,--,--,3.0
Jab 2,6,-12,6—7,15,--,--,3.0
Jab 3,6,-26,6—8,30,--,--,5.0
Forward Tilt,10,-16,10—11,23,--,--,12.0
Up Tilt,8,-17,8—12,20,--,--,7.0
Down Tilt,5,-6,5—6,13,--,--,8.0
Dash Attack,9,-18,9—10,31,--,--,10.0
Forward Smash,15,-34/-34/-33,15—17,42,--,Close/Far,14.0/15.0/16.0
Up Smash,11/14/21,-32,11—12/14—15/21—22,37,--,--,4.0/3.0/7.0
Down Smash,7/15,-38/-28,7—8/15—16,37,--,--,12.0/15.0
Neutral Air,10,-5,10—23,25,9,--,8.0
Forward Air,12/16/21,-10/-9,12—13/16—17/21—22,27,12,Multi/Final,3.0/5.0
Back Air,10,-4,10—11,26,9,--,14.0
Up Air,11,-4/-6,11—13(14—23),21,10,Early/Late,16.0/10.0
Down Air,14...,-11,14—37(rehit: 5)/1—3,21,18,Multi/Landing,1.5/5.0
Gale Strike,20,-33,20—37(38—55/56—71),--,--,Early/Late/Later,13.0/11.0/10.0
Shuriken of Light,13,-18,13—20(21—28/29—36/37—50),--,--,Early/late/later/latest,2.0/3.5/5.0/6.5
Blurring Blade,17/21/25/29/33/44,-32 to -23,17—18/21—22/25—26/29—30/33—34/44—45,39,--,Multi/Final,0.8—1.9/8.0—19.2
Airborne Assault,"Ground: 25, Air: 30",-41,"Ground: 25—60 
		Air: 30—65
		Hit: 2—5",79,--,--,12.0
Gale Stab,2(+7),-24 to -16,**,--,29,--,8.0—18.5
Chakram,18,-27/-20,18—89/18—40,--,--,Weak Throw/Strong Throw,1.1/8.0
Stone Scabbard,13/42,-37,**,--,44,Rising/Falling/landing,4.0/3.0/5.0
Skyward Slash Dash,15/19/22/25/28/31/34,-38,15/19—20/22—23/25—26/28—29/31—32/34—35,42,20,First/multi/final,2.2/3.0/4.0
Hero's Spin,8,-57 to -53,8—9(10—14/15—24/25—40),38,--,Early/Lates,14.0—19.6
Hero's Spin (Air),8/16/22/26/31/38/47,**,8/11/16/19/22/26/31/38/47—48,--,30,First/multi/final,3.0/2.0/5.0
Blade Counter,5 (Start of Counter),--,5—26 (counter),--,--,--,--
"Blade Counter, Activated",21,--,21—22,16,--,--,--
Reversal Slash,16 (5 is Start of Reflector),-13,16—17,19,--,--,6.0
Power Thrust,12,-33,12—14(15—22/23—30),29,--,Early/Late/Later,15.0/13.0/10.0
Power Thrust (Air),14,-31,14—16/17—24/25—29,29,39,falling/landing,13.0/7.0
