Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,5,-15,5—6,18,--,--,2.5
Jab 2,8,-20,8—9,22,--,--,2.0
Jab 3,6,-23,6—7,28,--,--,5.5
Rapid Jab,6/8/10...,--,6/8/10...,--,--,--,0.5
Rapid Jab Finisher,7,-28,6—7,34,--,--,5.0
"Forward Tilt, Dragon",14,-31,Ground: 14(15—24) // Air: 14(15—22),36,--,--,8.0
"Forward Tilt, Power Dragon",14,-29,Ground: 14(15—24) // Air: 14(15—22),36,--,--,9.2
"Forward Tilt, Ramram",14,-31,Ground: 14(15—21/22—29) // Air: 14(15—19/20—24),27,--,--,5.0
"Forward Tilt, Megawatt",14,-30 — -34,Ground: 14(15—32) // Air: 14(15—27),40,--,--,11.0
Up Tilt,5,-31/-30/-29,(5-6/7-11)(6-9/10-15),26,--,(Left Leg)(Right Leg),(Clean) 5.0/7.0 // (Late) 4.0/6.0
Down Tilt,10,-18/-17,10-14/15-19,15,--,Early/Late,7.0/5.0(5.5/3.5)
Dash Attack,7,-23,7—10/11—16,22,--,Early/Late,10.0/8.0
"Forward Smash, Dragon (Laser)",16 (40),-32/-29/-30 (-35),16(17—19/20—24/25—29) (40—50),15,--,Early/Middle/Late (Laser),12.0/16.0/13.0 (7.0)
"Forward Smash, Power Dragon (Laser)",16 (40),-31/-31/-29 (-34),Ground: 16(17—19/20—24/25—29) (40—50) // Air: 16(17—19/20—23/24—28) (40—50),15,--,Early/Middle/Late (Laser),15.0/20.0/16.25 (12.0)
"Forward Smash, Ramram",16 (26),-32/-31,Ground: 16(17—18/19—25/26—35) // Air: 16(17—18/19—24/25—32),25,--,Normal/Late (Chakram),10.0/12.0 (2.5)
"Forward Smash, Megawatt",16,-28 — -34,Ground: 16(17—19/20—31/32—38) // Air: 16(17—19/20—29/30—36),39,--,Early/Middle/Late,19.0/21.0/19.0
Up Smash,8,-35/-34,8-10/11-13/14-16,37,--,early close/far late close/far,16.0/14.0
Down Smash,6,-33/-32,6—8,40,--,Left Leg/Right Leg,15.0/13.0
"Neutral Air, Dragon",10,-8,10—23,14,12,**,8.5
"Neutral Air, Power Dragon",10,-6,10—23,14,12,**,9.775
"Neutral Air, Ramram",8,-9,8—18,10,12,**,6.0
"Neutral Air, Megawatt",14,-7,14—32,18,12,**,12.0
Up Air,7,-5,7—13,25,8,**,6.5/4.5
Down Air,15,*/*/-20,15—18/19—33/1—3,21,25,Early/Late/Landing,11.0/9.0/3.0
Up B (Arms Jump),**,**,**,--,**,**,**
Up B (Arms Hook),12,-31,12—20,34,**,**,9.0
Down B (Arms Change),1,**,**,--,--,**,**
