Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,4,-7,4—5,10,--,--,3.0
Rapid Jab,5/11/17...,--,**,--,--,--,0.8
Rapid Jab Finisher,2,-28,2,32,--,--,3.0
Forward Tilt,8,-18,8—9(10—20),17,--,Early Far/Early Close/Late,12.0/10.0/6.0
Up Tilt,10/20,-16/-6,10—12/20—22,11,--,--,7.0/7.0
Down Tilt,6,-27,6—8,34,--,--,9.0
Dash Attack,6,-21,6—9(10—19),19,--,Early/Late,10.0/6.5
Forward Smash,17,-15/-13,17—18,24,--,Close/Far,14.0/18.0
Up Smash,21,-6,21—25,13,--,--,16.0
Down Smash,12,-16/-15,12—16,21,--,Close/Far,13.0/15.0
Neutral Air,7/12/17/22,-5/-4,7—10/12—15/17—20/22—23,19,7,Multi/Final,3.0/4.0
Forward Air,10/44,-3,10—13/**,--,17,--,3.0/12.0
Back Air,10/14/18/22,-13,10—13/14—17/18—21/22/1,17,18,Multi/Final/landing,2.0/3.0/3.0
Up Air,9/15/21/27/33/37,**,9/15/21/27/33/37—41,1,12,Multi/Final,1.7/3.0
Down Air,12,-17,12—13/14—38/1—2,11,22,Meteor/Late/Landing,11.0/3.5
Neutral B (Chef),18,-28,18—20/**,--,--,Sausage/Pan,5.0/13.0
Side B (Judge),16,"-30, -28, -27, -25, -20, -22, -20, -21, -6",16—23 (Judge 5: 16—18/19—21/22—24/25—27),22,--,--,"1: 2.0, 2: 4.0, 3: 6.0, 4: 8.0, 5: 3.0, 6: 12.0, 7: 14.0, 8: 13.0, 9: 32.0"
Up B (Fire),3/9,**,3—4/9—18,--,7,Early/Late,3.0/6.0
Down B (Oil Panic),6 (Start of Absorb/Reflect),--,6—30 (absorb),--,--,--,--
"Oil Panic, Overload",2,**,2—7(8—14/15—26),23,--,Early/Late/Later,16.0—48.0
