Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,2,-15,2—4,16,--,--,2.0
Jab 2,4,-23,4—5,25,--,--,2.0
Jab 3,4,-20,4—6,23,--,--,4.0
Rapid Jab,8/12/16...,--,8/12/16...,--,--,--,0.4
Rapid Jab Finisher,6,-27,6—7,30,--,--,3.0
Forward Tilt,8,-11,8—9,16,--,--,5.5
Up Tilt,7,-14,7—12,14,--,--,4.0
Down Tilt,5,-11/-10,5—7,13,--,Close/Far,3.0/4.0
Dash Attack,9,-22,9—10,29,--,Closest/Far,7.0/8.5
Forward Smash,14,-26,14—17,32,--,--,13.5
Up Smash,9/12/17/22/26,-40/-21,9—10/11—24(rehit: 5)/26—27,25,--,launcher/multihits/final hit,2.0/1.5/6.0
Down Smash,8/14,-28/-30/-22/-24,8—10/14—16,28,--,blade close/far / leg close/far,9.0 / 10.5 / 6.0 / 7.5
Neutral Air,8,-10,8—13(rehit: 3)(14—19),31,13,Multi/Final/Landing,2.0/3.0/2.0
Forward Air,8,-7,8—11,26,10,--,7.0
Back Air,10,-7,10—11(12),21,10,Early/Late,7.5/6.5
Up Air,9,-5,9—13,17,8,--,6.0
Down Air,13,-7,13—15(16),24,11,Early/Late,8.0/6.0
Neutral B (Lightning Buster),9/20/30/40—69/80/90/99/109,-21 — -8,**,--,--,multihit/final,2.0/6.0/4.0/17.0
Side B (Photon Edge),18/25/32/39/46/54,-47,18—19/25/32/39/46/54,46,18 (see notes),First/Multi/Final,2.5 / 2.5 / 7.0
Up B (Ray of Punishment),10/40,**,10—12/40—56,--,15,Slash/Projectile/Explosion,7.0/2.0/4.5
Chroma Dust,10...,**,10—12/41-56/42-57/43-58/44-59/45-60,--,20,Slash/Projectile,7.0/2.5
Down B (Swap to Pyra),--,--,--,--,--,--,--
