Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,2,-12/-13,2—3,14,--,--,1.4/1.2
Forward Tilt,6,-14/-15/-13,6—8,21,--,Neutral/Down/Up,9.0/8.0/10.0
Up Tilt,7,-13,7—13,13,--,--,5.0
Down Tilt,7,-5,7—8,10,--,--,6.0
Dash Attack,6,-12,6—8(9—12),23,--,Early/Late,11.0/6.0
Forward Smash,15,-29,15—16/17—19/20—29,24,--,Early/late/latest,15.0/18.0/12.0
Up Smash,10,-24,10—12/13—14/15—17,27,--,Clean/Mid/Late,(14.0/13.0)/11.0/7.0
Down Smash,8/11/14/17/20/23,-39,8—9/11—12/14—15/17—18/20—21,44,--,Multi/Final,2.0/3.0
Neutral Air,3/9/15/21,-7,3—6/9—12/15—18/21—22,16,9,Multi/Final,1.7/3.5
Forward Air,11...,-10/-9,11—25/27 (rehit: 3),14,12,Multi/Final,1.3/4.8
Back Air,4/8/12/16/20/24,-12,4—5/8—9/12—13/16—17/20—21/24—25/1—2,18,18,Multi/Final/Landing,1.0/3.5/4.0
Up Air,4,-11/-11,4—6/7—8,18,14,Clean tail/Clean tip/Late,6.0/5.0/4.0
Down Air,14,-16,14—15/16—26/1—2,21,22,Meteor/Late/Landing,13.0/12.0/4.0
Neutral B (Thunderjolt),19,-20,19—52(53—85/86—114),--,--,Arc/Projectile,6.0/4.8
Side B (Skull Bash),18/18,-11 to -2,18—52,44,--,Ground/Air,10.0—21.4
Up B (Quick Attack),15/29,-33,15—19/29—33,19,24,Early/Late,3.0/2.0
Down B (Thunder),13/**,-26,13—15(16—85): Early // 21—23(24—93): Late // 1-2: Contact,84,--,Projectile Early / Projectile Late / Contact,6.0/8.0/15.0
