Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-14,3—5,16,--,--,3.0
Jab 2,5,-23,5—6,25,--,--,2.0
Jab 3,5,-24,5—7,28,--,--,5.0
Rapid Jab,9/13/17...,--,9/13/17...,--,--,--,0.6
Rapid Jab Finisher,6,-25,6—7,30,--,--,5.0
Forward Tilt,12,-10/-9,12—13,24,--,Early/Late,11.5
Up Tilt,11,-19,11—16,23,--,--,9.5
Down Tilt,9,-11/-9,9—11,15,--,Close/Far,6.0/8.0
Dash Attack,17,-18,17—18,34,--,Closest/Far,10.5/12.5
Forward Smash,20,-34,20—23,44,--,--,20.0
Up Smash,15/17,-47/-40,15—16/17—23/24—33,33,--,hit 1/early hit 2/late hit 2,3.5/13.5/12.0
Down Smash,12/18,-26/-28/-20/-22,12—14/18—20,27,--,blade close/far / leg close/far,11.0/13.5/8.0/10.0
Neutral Air,11,-11/-11,11—16(17—22),34,15,Early/Late,10.0/8.0
Forward Air,11,-9,11—14,34,14,--,12.0
Back Air,16,-9,16—17(18),31,14,Early/Late,14.0/12.0
Up Air,13,-4,13—17,40,8,--,10.0
Down Air,17,-9/-9,17/18/19—20,45,14,Early/Clean/Late,12.0/14.0/12.0
Neutral B (Flame Nova),13/27/33—56/68/78/87/94,-18 — -11,"...  
		FN1) 4—6/12—14/18—20/26—32 
		FN2) 7—9/14—16/20—22/25—27/30—32/38—44 
		FN3) 7—9/13—15/19—21/24—26/29—31/34—36/38—40/45—52",6,--,multihit/final,"FN1) 3.0/7.0  
		FN2) 4.0/10.0 
		FN3) 5.0/13.0"
Side B (Blazing End),14/16...74,**,**,--,--,wrist/early multi/late multi/final,8.0/1.5/0.8/10.0
Up B (Prominence Revolt),13/41,-48,13—15/41—...,--,54,rising/falling/landing,4.0 / 5.0 / 2.0 / 9.0
Down B (Swap to Mythra),--,--,--,--,--,--,--
