Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,4,-24,4—5,26,--,--,2.0
Jab 2,5,-26,5—6,28,--,--,1.5
Jab 3,6,-23,6—7,28,--,--,5.0
Rapid Jab,4/6/8...,--,**,--,--,--,0.9
Rapid Jab Finisher,5,-39,5—6,41,--,--,2.0
Forward Tilt,9,-15,9—10,22,--,--,7.5
Up Tilt,6,-20,6—14,18,--,--,6.0
Down Tilt,7,-8,7—8,13,--,--,6.0
Dash Attack,8,-23,8—10(11—18),23,--,Early/Late,10.0/6.0
Forward Smash,16,-30/-34,16—18(19—27),30,--,Early/Late/Bronze,16.0/10.0/9.6
Up Smash,12,-33/-30/-33,"12,13—16(17—32)",20,--,Close/Far/Bronze,10.0/15.0/9.0
Down Smash,16,-28/-34,16—17(19—22/23—28),28,--,Sword/spark/bronze,15.0/12.0/8.0
Neutral Air,7/20,-6/-8,7—10/20—23(24—28),19,11,Levin/Bronze,11.5/6.9
Forward Air,12,-6/-8,12—15(16—19),14,11,Levin/Bronze,12.5/7.5
Back Air,9,-6/-8/-7,9—10(11—16),23,11,Early/late/Bronze,15.0/5.0/9.0
Up Air,10,-6/-8/-7,10—13(14—23),22,11,Early/Late/Bronze,13.0/5.0/7.8
Down Air,13,-12/-13,13—15(16—17/18—24),35,16,"Levin Early/late, Bronze Early/late",11.0/8.0/7.2/6.0
Neutral B (Thunder/Elthunder/Arcthunder),8/8/8,-12/-13,8—22 / 8—49 / 8—79,--,--,Thunder/Elthunder/Arcthunder,5.5/11.0
Arcthunder (Vortex),1...,+0,1—16(rehit: 4)/17,--,--,First/Multi/Final,6.0/2.4/8.0
Thoron,23/27/31/35/39/43/47,-20,23—92(Rehit: 4),--,--,Multi/Final,2.6/2.6
Side B (Arcfire),17,+13,17—61,2,--,First/Multi/Final,2.0/1.3/4.0
Up B (Elwind),8/28,--,8(9—12/13—31) / 28—32(33—55),--,25,Early/Late,7.0/5.0
Down B (Nosferatu),15,**,15—18,31,--,--,**
Thrown Items,--,--,--,--,--,--,**
