Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,5,-9/-12,5—7,15,--,Close/Far,7.5/4.8
Forward Tilt,8,-13/-16/-17,8—10,23,--,Close/Far,12.5/9.0/8.0
Up Tilt,6,-21/-25,6/7—8/9—11,27,--,Close/Far,12.0/7.0
Down Tilt,7,-3/-7,7—8,13,--,Close/Far,11.0/6.5
Dash Attack,13,-17/-21,13—16,29,--,Close/Far,13.0/9.0
Forward Smash,13,-27/-29/-32,13—14,39,--,Close/med/far,20.0/17.0/12.0
Up Smash,12/15/17/19/22,-29,12—13/15/17/19/22—23,35,--,First/multi/final,1.0/2.0/10.0
Down Smash,6/21,-46/-49/-30/-33,6—7/21—22,40,--,"first close/far, second close/far",15.0/10.0/17.0/11.0
Neutral Air,6/15,-6/-6/-5/-6,6—7/15—21,24,9,"first close/far, second close/far",6.0/4.0/8.5/5.0
Forward Air,10,-4/-5,10—12,17,8,Close/Far,11.0 / 7.0
Back Air,8,-5/-6,8—10,25,10,Close/Far,12.0/9.0
Up Air,5,-4/-5,5—12,29,8,Close/Far,9.0/6.0
Down Air,16,-9/-10,16—17,34,14,Close/Far,15.0/10.0
Neutral B (Flare Blade),21-260,-15 to Shieldbreak,21—24 (or 10—14 from release),20,--,--,8.0—50.0
"Side B, Hit 1 (Double-Edge Dance, Hit 1)",9,-26/-16(air),9—11,28,--,Close/Far,3.0/2.0
"Double-Edge Dance, Hit 2 Neutral",5,-29/-30,5—7,31,--,Close/Far,3.0/2.0
"Double-Edge Dance, Hit 3 Neutral",4,-34/-35,4—6,37,--,Close/Far,4.0/3.0
"Double-Edge Dance, Hit 4 Neutral",7,-45/-46,7—9,49,--,Close/Far,6.0/4.0
"Double-Edge Dance, Hit 2 Up",4,-34/-35,4—6,32,--,--,3.0/2.0
"Double-Edge Dance, Hit 3 Up",5,-33/-34,5—7,36,--,Close/Far,4.0/3.0
"Double-Edge Dance, Hit 4 Up",6,-31/-32,6—10,34,--,Close/Far,7.0/5.0
"Double-Edge Dance, Hit 3 Down",5,-34/-35,5—7,37,--,Close/Far,4.0/3.0
"Double-Edge Dance, Hit 4 Down",7/10/13/16/19,-46,7/10/13/16/19—21,50,--,multi/final,2.0/5.0
Up B (Blazer),9/11...,**,9/11—19(rehit: 3) / 20—21,--,30,First/multi/final,5.5/1.1/8.0
Down B (Counter),8 (Start of Counter),--,**,--,--,--,--
"Counter, Attack",4,--,4—5,35,--,--,--
