Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-8,3—4,11,--,--,2.5
Jab 2,4,-16,4—5,19,--,--,2.5
Jab 3,8,-32,8—9,37,--,--,6.0
Forward Tilt 1,4,-22,4—5,26,--,--,4.0
Forward Tilt 2,8,-22/-22/-21,8,31,--,Close/Far/Farther,9.0/10.0/11.0
Up Tilt,6,-18/**,6—8/9—13,24,--,Early/Late,14.5/13.5
Down Tilt,6,-13,6—7,23,--,--,12.0
Dash Attack,5,-26/**,5—8/9—12,29,--,Early/Late,11.0/9.0/8.0/6.0
Forward Smash,41,-18,41—43,30,--,--,22.0
Up Smash,11/35,-39/+1,11—12/35—**,--,--,Initial/Projectile,4.0/14.0
Down Smash,8/20,-28/-14,8—10/20—22,22,--,--,12.0/14.0
Neutral Air,10/18/26/36,-14/-11,10—11/18—19/26—27/36—38,21,16,Multi/Final,3.0/12.0
Forward Air,23,-14/-14,23—26,43,19,Close/Far,14.0/15.0
Back Air,7,-13/-14/-15/-15,7—9/10—26,16,19,"Early far/close, Late far/close",16.0/14.0/10.0/9.0
Up Air,10,-10/-11,10—12/13—23,24,15,Far/Close,14.0/10.0
Down Air,3/10/17/25,-17/-18/-16,3—4/10—11/17—18/25—26,33,20,First/Multi/Final,4.0/3.0/10.0
Neutral B (Grenade),1 (Grenade Pull),--,**,--,--,--,--
"Grenade (Neutral Throw, Smash Throw, Underhand Throw)","8, 10, 9",**,**,--,--,Collide/Explosion,2.0—3.1/8.9—9.9
Side B (Nikita),41,-19/-14,41—**,--,--,Early/Late,7.0/14.0
Up B (Cypher),--,--,**,--,--,--,6.0
Down B (C4),9,--,**,--,-,--,--
C4 Detonate/Explosion,25,+20 / +11,25—27,5,-,Sticky/Non-Sticky,17.0
