Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,2,-11,2—3,13,--,--,2.0
Jab 2,4,-17,4—5,19,--,--,1.5
Jab 3,5,-21,5—6,25,--,--,4.0
Forward Tilt,5,-6,5—6,11,--,--,5.0
Up Tilt,5,-8,5—6,13,--,--,5.0
Down Tilt,8,-12,8—13,16,--,--,9.0
Dash Attack,8,-16,8—11/12—17,18,--,Early/Late,8.0/7.0
Forward Smash,20,-19,20—21,28,--,--,15.0
Up Smash,19/21,-35,19/21—22/(22—23/24—25),40,--,First/Early/Late,3.0/13.0/10.0
Down Smash,18,-13,18—19/24—25,16,--,--,13.0
Neutral Air,4,-4/-5,4—6/7—26,15,8,Early/Late,10.0/7.0
Forward Air,5,-3/-3,5—6/7—14,21,6,Early/Late,7.0/6.0
Back Air,5...,-15,5—14/15—16 (rehit: 2),19,18,Multi/Final/Landing,1.0/6.0/2.0
Up Air,5,-3,5—9,20,6,--,7.0
Down Air,6...,-14/-13,6—20/22 (rehit: 3),22,16,Multi/Final,1.5/4.0
Neutral B (Watergun),26,--,24—**,--,--,--,--
Side B (Withdraw),23,-18,22—41/22—61,--,--,--,13.0—13.9
Up B (Waterfall),9...,--,9—41/43—44 (rehit: 5),--,30,Multi/Final,1.3/3.0
Down B (Pokemon Change),--,--,**,--,--,--,--
