Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab / Forward Tilt,4 (Gold: 3),-10 / (Gold: -9),4—6 (Gold: 3—5),10,--,Fist/wood/stone/iron/diamond (Gold),2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4)
Up Tilt,6 (Gold: 4),Punch -4 \| Wood -3 \| Stone -3 \|Iron -2 \| Gold -1 \| Diamond -1,6—9 (Gold: 4—7),7,--,Fist/wood/stone/iron/diamond (Gold),(W/S/I/D/P/G) : 6.5%/7.15%/7.8%/8.775%/5.2%/6.5%
Down Tilt,12...,+5,12—35(Rehit: 6)/36—39,13,--,multi/final,0.8 / 6.4
Dash Attack,8 (Gold: 8),Punch -15 \| Wood -13 \| Stone -12 \| Iron -12 \| Gold -10 \| Diamond -10,8—10/11—13,18,--,Early/Late,(W/S/I/D/P/G) (Early\|Late) : 10.4%\|8.4%/11.44%\|9.24%/12.48%\|10.08%/14.04%\|11.34%/8.32%\|6.72%/10.4%\|8.4%
Forward Smash,13 (Gold: 10),Punch -22 \| Wood -20 \| Stone -19 \| Iron -18 \| Gold -15 \| Diamond -17,13—15,28,--,Fist/wood/stone/iron/diamond (Gold),(W/S/I/D/P/G) : 15.0%/16.5%/18.0%/20.25%/12.0%/15.0%
Up Smash,8...,-11,8—9/8—48/49—50,26,--,Launcher/Magma Block/Final,1.0%/0.4%/14.0% PICKAXE SOURSPOT (W/S/I/D/G) : 7.4%/8.14%/8.88%/9.99%/7.4%
Down Smash,8...,-34/-16,8—11(Rehit: 2)/12—17 // 26—29(Rehit:2)/30—35,16,--,front multi/front final/back multi/back final,0.6% (Loop)/14.0%
Neutral Air,4 (Gold: 3),-10 (Gold: -9),4—6 (Gold: 3—5),11,--,Fist/wood/stone/iron/diamond (Gold),2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4)
Forward Air,8,Punch -8/-8 \| Wood -8/-7 \| Stone -7/-7 \| Iron -7/-7 \| Gold -8/-7 \| Diamond -7/-6,8—9/10—12 (Punch) // 8/9/10—12 (All Pickaxes),--,12,Early/Late,(W/S/I/D/P/G) (Early\|Late) : 10.5%\|12.0%/11.55%\|13.2%/12.6%\|14.4%/14.175%\|16.2%/8.4%\|9.6%/10.5%\|12.0%
Sword Forward Air (Short Hop Macro FAir),4 (Gold: 3),-- (can only be done rising),4—6 (Gold: 3—5),10,-- (can only be done rising),Fist/wood/stone/iron/diamond (Gold),2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4)
Back Air,12,Punch -8/-8 \| Wood -7/-7 \| Stone -7/-7 \| Iron -7/-6 \| Gold -7/-7 \| Diamond -6/-6,12—13/14—16,31,12,Early/Late,(W/S/I/D/P/G) (Early\|Late) : 11.5%\|13.0%/12.65%\|14.3%/13.8%\|15.6%/15.525%\|17.55%/9.2%\|10.4%/11.5%\|13.0%
Sword Back Air (Short Hop Macro BAir),4 (Gold: 3),-- (can only be done rising),4—6 (Gold: 3—5),10,-- (can only be done rising),Fist/wood/stone/iron/diamond (Gold),2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4)
Up Air,4 (Gold: 4),Punch -4 \| Wood -3 \| Stone -3 \| Iron -2 \| Gold -1 \| Diamond -1,4—8,5,10,Fist/wood/stone/iron/diamond (Gold),(W/S/I/D/P/G) : 6.5%/7.15%/7.8%/8.775%/5.2%/6.5%
Down Air,20,-14,**,--,18,Normal/Projectile,18.0/10.0
Summon Crafting Table,**,**,**,--,--,**,**
Neutral B (Mine),**,--,--,--,--,--,--
Place Block,4,--,--,--,--,--,--
Side B (Minecart),18,**,18—...,--,**,--,**
Up B (Elytra),28 (Ground) / 23 (Air),**,28—37/38—44 (Ground) // 23—32/33—39 (Air),--,**,--,**
Down B (TNT),**,**,**,--,--,--,28.0/14.0
