Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-6,3—4,9,--,--,3.0
Jab 2,3/4,-19/-17,3/4—7,17,--,--,1.0
Jab 3,7,-19,7—10,23,--,--,7.0
Forward Tilt,8,-8/-7,8—13,14,--,Close/Far,12.0/13.0
Up Tilt,7,-12,7—11,19,--,--,11.0
Down Tilt,6,-6,6—8,8,--,--,3.0
Dash Attack,10,-18/-15,10—14(15—22),18,--,Early/Late,13.0/10.0
Forward Smash,18,-20,18—21,29,--,**,18.0
Up Smash,10,-20 / -18,10(11—14),27,--,Early/Late,16.0/18.0
Down Smash,8,-23,8—11,29,--,--,12.0
Neutral Air,4,-4,4—8(9—19),14,7,Early/Late,7.0/5.0
Forward Air,7,-7/-8,7—10(11—17),22,12,Early/Late,11.0/8.0
Back Air,11,-5/-6,11—13(14—15),24,11,Early/Late,15.0
Up Air,7,-3,7—9,26,7,--,5.0
Down Air,12,-10,12—15,17,16,Close/Far,15.0/17.0
"Neutral B (Power Wave, Ground)",18 (21),-22 (-21),18—86 (21—66),--,--,Weak (Strong),8.0 (9.0)
"Power Wave, Air",18 (18),**,18—27 (18—24),22,--,Weak (Strong),10.0 (11.0)
Forward B (Burning Knuckle),15/19 (21/26) \| 14—17(18—26),-28 (-34),15—19(20—30) \| 21—28(27—39) \| 14—17(18—26) \| 18—21(22—30),21,--,"Ground Weak \| (Strong) \| Air Weak \| (Strong)
		Ground \| Air",13.0/12.0 (14.0/12.0)
"Burning Knuckle, Input",15/21 (21/28) \| 14/19 (18/23),-26 (-32),15—21(22—30) \| 21—28(29—39) \| 14—19(20—26) \| 18—23(24—30),21,--,Weak (Strong),16.0/14.0 (17.0/14.0)
Back B (Crack Shoot),13/21,-12,13(14—20)/21(22—26),20,**,(First Close/Far/Farthest)/(Second Close/Far/Farthest),(3.0/4.0/5.0)/(6.0/8.0/10.0)
Up B (Rising Tackle),10/12/15/20/25,**,10/12/15/20/25,--,15,First/Multi/Final,4.0/0.3/7.0/9.0
Rising Tackle (Charged Input),10/12/14/16/19/21/24/29/34,**,10/12/14/16/19/21/24/29/34,--,15,First/Multi/Final,4.5/0.3/8.0/10.0
Down B (Power Dunk),Weak: 6/9/29 \| Strong: 6/9/35,-19,6/9/11/29—30/31—41,13,20 (24),First/Second/Dunk Early/Dunk Late,1.0/2.0/12.0/14.0
Power Geyser,20,-29,20—23/24—29,42,**,Close/Far,26.0/23.0
Buster Wolf,14,-45,14—23/46,19,**,Punch/Blast,5.0/20.0
