Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,8,-16,8—9,18,--,--,4.0
Jab 2,4,-23,4—5,24,--,--,5.0
Forward Tilt,12,-15,12—15,24,--,Far/Close,13.0/10.0
Up Tilt,8,-13,8—10/11—15,12,--,Early/Late,6.0/5.0
Down Tilt,5,-7,5,12,--,--,4.0
Dash Attack,5,-33,5—8/9—23,25,--,Early/Late,11.0/5.0
Forward Smash,18,-34,18—19,46,--,--,20.0
Up Smash,11,-35/-37,11—12/13,44,--,Close/Far,17.0/13.0
Down Smash,8,-44,8—17/18—27/28—36,25,--,Early/Late/Later,13.0/10.0/5.0
Neutral Air,4/20,-4/-4,4—12(13—17)/20—26(27—42),3,7,Early Hit 1/Late Hit 1 Hands/Late Hit 1 Body/Early Hit 2/Late Hit 2,6.0/3.0/6.0/4.0/5.0
Forward Air,5,-7/-7,5—6/7—17,20,10,Early/Late,7.0 / 4.5
Back Air,9,-11,9—11,38,16,--,12.0
Up Air,8,-2,8—9,37,7,--,13.0
Down Air,9/11/13/15/17/19/21,-16/-15,9/11/13/15/17/19/21,26,18,Multi/Final,1.3/4.0
Neutral B (Chomp),8 (11 Grab Release),--,8—16 (Can hold: 8—64),--,--,--,--
Side B (Wario Bike),20/24,**,20—**,--,--,--,0.6—11.4
"Wario Bike, Wheelie",4/54,-60/-10,**,--,--,--,5.0/13.0
"Wario Bike, Turnaround",6,-40,**,--,--,--,7.0
Bike (Thrown / Item),--,--,--,--,--,--,--
Up B (Corkscrew),6/8/12/16/20/29,**,6—7/8—11/12—15/16—19/20—23/29—30,--,20,First/Multi/Final,5.0/1.0/4.0
Down B (Wario Waft),"16, 10, 8, 12","--, -41, -24, -28","16—18, 10—11, 8—11, 12—13/14—29",50,--,"Stage 1, Stage 2, Stage 3, Final Stage Early/Late","0.0, 12.0+, 20.0+, 27.0/20.0"
