Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,3,-10,3,14,--,--,3.0
Jab 2,3,-11,3—4,15,--,--,4.0
Forward Tilt,5,-16,5—7,22,--,--,8.0
Up Tilt,8,-16,8—15,16,--,--,7.0
Down Tilt,8,-9/-9/-10,8—10,13,--,Close/Middle/Far,5.0/4.5/4.0
Dash Attack,10,-20,10—12/13—20,20,--,Early/Late,11.0/8.0
Forward Smash,14,-28,14—16,36,--,--,15.5
Up Smash,11,-24,11—13/14—16,30,--,Early/Late,14.0/12.0
Down Smash,7/22,-34/-19,7—8/22—23,26,--,First/Second,12.0/10.0
Neutral Air,3,-3/-4/-4,3—4(5—11/12—25),19,7,Early/Late/Latest,10.0/7.0/5.0
Forward Air,16,-7/-7,16—20,23,12,Close/meteor,15.0/14.0
Back Air,11/14/18,-9/-8,11/14/18—19,36,11,Multihit/Final,3.5/5.5
Up Air,5,-3,5—6,30,8,--,12.0
Down Air,16/18/20/22/24/26/28/30/32/34/36/38/41,-14,16/18/20/22/24/26/28/30/32/34/36/38/41,15,17,(Hits 1-6 (Middle/Sides)/Hit 7-12 (Middle/Sides)/Hit 13),(2.3%/1.8%)/(1.9%/1.4%)/2.8%
Neutral B (Egg Lay),19,--,19—22,27,--,--,--
Side B (Egg Roll),32,-29 to -27,**,--,--,--,10.8—12.8
Up B (Egg Throw),16,-30,16—**,--,--,--,6.0
"Down B (Yoshi Bomb, Yoshi Bomb Air)","7/27, 19","-32, -32","7/27/*, 19/*",--,"39, 39","Rising/falling/star, falling/star","4.0/15.0/4.0, 12.0/4.0"
