Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab,4/7,-13,4—5/7,17,--,--,2.5/2.5
Rapid Jab,4/6/8/10...,--,4/6/8/10...,--,--,--,0.4
Rapid Jab Finisher,6,-32,6—7,35,--,--,3.0
Forward Tilt,12,-13/-10,12—13,23,--,--,11.5/15.0
Up Tilt,7,-15,7—19,10,--,--,7.2
Down Tilt,5,-10,5—11,10,--,--,5.5
Dash Attack,6,-18,6—7/8—12,23,--,Early inner/Early outer/Late,12.0/9.0/6.0
Forward Smash,16/18/20/22/24,-16,16/18/20/22/24,25,--,--,1.0/13.0
Up Smash,9/13/17/21/25/29/34,-25,9—23/25—32/34,29,--,--,2.0/0.8/5.0
Down Smash,5/13,-24/-17,5—6/13—14,23,--,--,12.0/10.0
Neutral Air,6/10/14/18/22,-10/-9,6—7/10—11/14—15/18—19/22—23,27,12,Multi Front/Multi Back/Final,2.5/1.5/5.0
Forward Air,6,-8/-12,6/7—10,39,15,Sweet Spot/Late,20.0/4.0
Back Air,6,-8/-12,6/7—10,39,16,Sweet Spot/Late,20.0/4.0
Up Air,14,-6/-8,14—16/17—19,35,12,--,17.0/12.0
Down Air,14,-6/-9,14/15—24,20,12,Early/Late Close/Late Far,16.0/5.0/4.0
Neutral B (Nayru's Love),11...,-25,11-22 (Rehit Rate : 4) / 26,31,--,--,"2.0/1.0 (multi), 5.0/4.0 (final)"
Side B (Din's Fire),44—70,-18 to -10,44—49/.../70—75,20-(22),--,--,3.5—14.0
Up B (Farore's Wind),6/35,-29 (ground) // -19 (air),6—7/35—36,39,30,Hit 1/Inner Grounded Hit 2/Outer Grounded Hit 2/Inner Aerial Hit 2/Outer Aerial Hit 2,6.0/10.0/7.0/12.0/8.0
Down B (Phantom Slash),26/32/38/46/59-127,-19 to -15,**,--,--,--,5.9—17.7
