Move name,Startup,Advantage,Active frames,Endlag,Landing lag,Which hitbox,Base damage
Jab 1,1,-19,1,22,--,--,1.5
Jab 2,2,-20,2,23,--,--,1.5
Jab 3,3,-27,3—4,30,--,--,3.0
Forward Tilt,6,-15/-14,6—8,20,--,no angle/angled,7.0/8.0
Up Tilt,3/9,-36/-29,3—4/9—10,35,--,--,5.0/7.0
Down Tilt,8,-13,8—9,20,--,--,8.0/6.0
Dash Attack,7,-36,7—9(10—19),32,--,Early/Late,8.0/5.0
Forward Smash,13/26,-30,13—14/26—28,36,--,first/second/second far,5.0/11.0/11.0
Up Smash,10/14/17/20/23/26/28,-17,10—11/14/17/20/23/26/28—29,19,--,First/multi/Final,4.0/0.8/3.0
Down Smash,20,-15/-16,20—24,17,--,Close/Far,8.0/6.0
Neutral Air,10,-4,10—11(15—16),35,8,--,8.0
Forward Air,6/13,-7/-7,6—7/13—14,32,10,--,5.0/7.0
Back Air,8,-6/-5,8—9,31,10,Close/Far,10.0/12.0
Up Air,6,-2,6—12,22,5,--,6.5
Down Air,14,-17,14—49/1—3,18,24,Aerial Opponent/Grounded Opponent/Landing,6.0/5.0/5.5
Z Air,9,-2,9—19,30,8,--,5.0
Neutral B (Paralyzer),21—43,-20 to -18,21—44 (no charge) \|\| 43—90 (max charge),--,--,--,4.0—6.0
Side B (Plasma Whip),22/24/26/28/31,-15,22—23/24—25/26—27/28—29/31—35,20,--,First/multi/Final,2.0/1.2/8.0
Up B (Boost Kick),6...,--,6/12—24(rehit: 4)/28/34—35,--,30,First/multi/Final,5.0/1.3/4.0
Down B (Flip Jump),--,**,**,--,--,--,8.0
"Flip Jump, Kick",9,-36,9—12,47,35,--,14.0
